target	scene_id	viewpoint	kind	correctness	correctness_run2	reproducibility	status_1	output_1	status_2	output_2	expected	detail_1	provenance_1	choose	settings_1	types_1	types_in	types_added	requests
opp_pytrendfollow	p1-merge-by-time	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""book_snapshot"", 1700092800000000000], [""trade"", 1700179200000000000], [""book_delta"", 1700265600000000000], [""book_snapshot"", 1700352000000000000], [""trade"", 1700438400000000000]]}"	型の選び方(runner、第 r8-1 回): 設定つき対象の持つ型 [] は 0 種で、この場面の最低 2 種に足りない(同じ実行の p3 の採点: p3-trade: 対応なし / p3-book_snapshot: 対応なし / p3-book_delta: 対応なし / p3-bar: 対応なし / p3-funding: 対応なし / p3-liquidation: 対応なし)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p1-one-call-per-event	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""observed_ts_ns"": [1700092800000000000, 1700179200000000000, 1700265600000000000, 1700352000000000000, 1700438400000000000]}"	PyTrendFollow の検証は accountCurve(銘柄・建玉の系列・値の系列)の式で、事象を流す機関・事象ごとに呼ぶ戦略・注文・約定・時計・口座の物が無い。約定・遅延・費用・口座を差し込む口も無い(損益は accountcurve.py の 4 つの式の和、建玉は 2 期ずらし、費用は銘柄の commission の数)。試したこと: trading.accountcurve.accountCurve(<name/commission=0.5/spread=0/point_value=1 の銘柄>, positions=<6 日の建玉の系列>, panama_prices=<6 日の値の系列>, nofx=True, multiproc=False).returns() -> 列 ['X']、6 行(戦略を事象ごとに呼ぶ口・注文・約定の物は無く、損益は建玉と値の系列の式)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p1-typed-events	P0-1	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""trade"", 1700092800000000000], [""book_snapshot"", 1700179200000000000]]}"	型の選び方(runner、第 r8-1 回): 設定つき対象の持つ型 [] は 0 種で、この場面の最低 2 種に足りない(同じ実行の p3 の採点: p3-trade: 対応なし / p3-book_snapshot: 対応なし / p3-book_delta: 対応なし / p3-bar: 対応なし / p3-funding: 対応なし / p3-liquidation: 対応なし)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p2-iso-utc	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	PyTrendFollow の検証は accountCurve(銘柄・建玉の系列・値の系列)の式で、事象を流す機関・事象ごとに呼ぶ戦略・注文・約定・時計・口座の物が無い。約定・遅延・費用・口座を差し込む口も無い(損益は accountcurve.py の 4 つの式の和、建玉は 2 期ずらし、費用は銘柄の commission の数)。試したこと: trading.accountcurve.accountCurve(<name/commission=0.5/spread=0/point_value=1 の銘柄>, positions=<6 日の建玉の系列>, panama_prices=<6 日の値の系列>, nofx=True, multiproc=False).returns() -> 列 ['X']、6 行(戦略を事象ごとに呼ぶ口・注文・約定の物は無く、損益は建玉と値の系列の式)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p2-iso-offset	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	PyTrendFollow の検証は accountCurve(銘柄・建玉の系列・値の系列)の式で、事象を流す機関・事象ごとに呼ぶ戦略・注文・約定・時計・口座の物が無い。約定・遅延・費用・口座を差し込む口も無い(損益は accountcurve.py の 4 つの式の和、建玉は 2 期ずらし、費用は銘柄の commission の数)。試したこと: trading.accountcurve.accountCurve(<name/commission=0.5/spread=0/point_value=1 の銘柄>, positions=<6 日の建玉の系列>, panama_prices=<6 日の値の系列>, nofx=True, multiproc=False).returns() -> 列 ['X']、6 行(戦略を事象ごとに呼ぶ口・注文・約定の物は無く、損益は建玉と値の系列の式)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p2-event-time-exact	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""observed_ts_ns"": [1700006400123456789]}"	PyTrendFollow の検証は accountCurve(銘柄・建玉の系列・値の系列)の式で、事象を流す機関・事象ごとに呼ぶ戦略・注文・約定・時計・口座の物が無い。約定・遅延・費用・口座を差し込む口も無い(損益は accountcurve.py の 4 つの式の和、建玉は 2 期ずらし、費用は銘柄の commission の数)。試したこと: trading.accountcurve.accountCurve(<name/commission=0.5/spread=0/point_value=1 の銘柄>, positions=<6 日の建玉の系列>, panama_prices=<6 日の値の系列>, nofx=True, multiproc=False).returns() -> 列 ['X']、6 行(戦略を事象ごとに呼ぶ口・注文・約定の物は無く、損益は建玉と値の系列の式)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p2-one-ns-apart	P0-2	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	PyTrendFollow の検証は accountCurve(銘柄・建玉の系列・値の系列)の式で、事象を流す機関・事象ごとに呼ぶ戦略・注文・約定・時計・口座の物が無い。約定・遅延・費用・口座を差し込む口も無い(損益は accountcurve.py の 4 つの式の和、建玉は 2 期ずらし、費用は銘柄の commission の数)。試したこと: trading.accountcurve.accountCurve(<name/commission=0.5/spread=0/point_value=1 の銘柄>, positions=<6 日の建玉の系列>, panama_prices=<6 日の値の系列>, nofx=True, multiproc=False).returns() -> 列 ['X']、6 行(戦略を事象ごとに呼ぶ口・注文・約定の物は無く、損益は建玉と値の系列の式)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p3-trade	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01, ""side"": ""buy""}, ""sequence"": [[""trade"", 1700092800000000000]]}"	PyTrendFollow の検証は accountCurve(銘柄・建玉の系列・値の系列)の式で、事象を流す機関・事象ごとに呼ぶ戦略・注文・約定・時計・口座の物が無い。約定・遅延・費用・口座を差し込む口も無い(損益は accountcurve.py の 4 つの式の和、建玉は 2 期ずらし、費用は銘柄の commission の数)。試したこと: trading.accountcurve.accountCurve(<name/commission=0.5/spread=0/point_value=1 の銘柄>, positions=<6 日の建玉の系列>, panama_prices=<6 日の値の系列>, nofx=True, multiproc=False).returns() -> 列 ['X']、6 行(戦略を事象ごとに呼ぶ口・注文・約定の物は無く、損益は建玉と値の系列の式)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p3-book_snapshot	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	PyTrendFollow の検証は accountCurve(銘柄・建玉の系列・値の系列)の式で、事象を流す機関・事象ごとに呼ぶ戦略・注文・約定・時計・口座の物が無い。約定・遅延・費用・口座を差し込む口も無い(損益は accountcurve.py の 4 つの式の和、建玉は 2 期ずらし、費用は銘柄の commission の数)。試したこと: trading.accountcurve.accountCurve(<name/commission=0.5/spread=0/point_value=1 の銘柄>, positions=<6 日の建玉の系列>, panama_prices=<6 日の値の系列>, nofx=True, multiproc=False).returns() -> 列 ['X']、6 行(戦略を事象ごとに呼ぶ口・注文・約定の物は無く、損益は建玉と値の系列の式)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p3-book_delta	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012000.0, ""qty"": 0.3, ""side"": ""bid""}, ""sequence"": [[""book_delta"", 1700092800000000000]]}"	PyTrendFollow の検証は accountCurve(銘柄・建玉の系列・値の系列)の式で、事象を流す機関・事象ごとに呼ぶ戦略・注文・約定・時計・口座の物が無い。約定・遅延・費用・口座を差し込む口も無い(損益は accountcurve.py の 4 つの式の和、建玉は 2 期ずらし、費用は銘柄の commission の数)。試したこと: trading.accountcurve.accountCurve(<name/commission=0.5/spread=0/point_value=1 の銘柄>, positions=<6 日の建玉の系列>, panama_prices=<6 日の値の系列>, nofx=True, multiproc=False).returns() -> 列 ['X']、6 行(戦略を事象ごとに呼ぶ口・注文・約定の物は無く、損益は建玉と値の系列の式)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p3-bar	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""close"": 100.5, ""high"": 101.0, ""low"": 99.0, ""open"": 100.0, ""volume"": 12.0}, ""sequence"": [[""bar"", 1700092800000000000]]}"	PyTrendFollow の検証は accountCurve(銘柄・建玉の系列・値の系列)の式で、事象を流す機関・事象ごとに呼ぶ戦略・注文・約定・時計・口座の物が無い。約定・遅延・費用・口座を差し込む口も無い(損益は accountcurve.py の 4 つの式の和、建玉は 2 期ずらし、費用は銘柄の commission の数)。試したこと: trading.accountcurve.accountCurve(<name/commission=0.5/spread=0/point_value=1 の銘柄>, positions=<6 日の建玉の系列>, panama_prices=<6 日の値の系列>, nofx=True, multiproc=False).returns() -> 列 ['X']、6 行(戦略を事象ごとに呼ぶ口・注文・約定の物は無く、損益は建玉と値の系列の式)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p3-funding	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""rate"": 0.0001}, ""sequence"": [[""funding"", 1700092800000000000]]}"	PyTrendFollow の検証は accountCurve(銘柄・建玉の系列・値の系列)の式で、事象を流す機関・事象ごとに呼ぶ戦略・注文・約定・時計・口座の物が無い。約定・遅延・費用・口座を差し込む口も無い(損益は accountcurve.py の 4 つの式の和、建玉は 2 期ずらし、費用は銘柄の commission の数)。試したこと: trading.accountcurve.accountCurve(<name/commission=0.5/spread=0/point_value=1 の銘柄>, positions=<6 日の建玉の系列>, panama_prices=<6 日の値の系列>, nofx=True, multiproc=False).returns() -> 列 ['X']、6 行(戦略を事象ごとに呼ぶ口・注文・約定の物は無く、損益は建玉と値の系列の式)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p3-liquidation	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 4990000.0, ""qty"": 0.2, ""side"": ""sell""}, ""sequence"": [[""liquidation"", 1700092800000000000]]}"	PyTrendFollow の検証は accountCurve(銘柄・建玉の系列・値の系列)の式で、事象を流す機関・事象ごとに呼ぶ戦略・注文・約定・時計・口座の物が無い。約定・遅延・費用・口座を差し込む口も無い(損益は accountcurve.py の 4 つの式の和、建玉は 2 期ずらし、費用は銘柄の commission の数)。試したこと: trading.accountcurve.accountCurve(<name/commission=0.5/spread=0/point_value=1 の銘柄>, positions=<6 日の建玉の系列>, panama_prices=<6 日の値の系列>, nofx=True, multiproc=False).returns() -> 列 ['X']、6 行(戦略を事象ごとに呼ぶ口・注文・約定の物は無く、損益は建玉と値の系列の式)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p3-mixed-one-run	P0-3	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""trade"", 1700092800000000000], [""book_snapshot"", 1700179200000000000], [""book_delta"", 1700265600000000000], [""bar"", 1700352000000000000], [""funding"", 1700438400000000000], [""liquidation"", 1700524800000000000]]}"	PyTrendFollow の検証は accountCurve(銘柄・建玉の系列・値の系列)の式で、事象を流す機関・事象ごとに呼ぶ戦略・注文・約定・時計・口座の物が無い。約定・遅延・費用・口座を差し込む口も無い(損益は accountcurve.py の 4 つの式の和、建玉は 2 期ずらし、費用は銘柄の commission の数)。試したこと: trading.accountcurve.accountCurve(<name/commission=0.5/spread=0/point_value=1 の銘柄>, positions=<6 日の建玉の系列>, panama_prices=<6 日の値の系列>, nofx=True, multiproc=False).returns() -> 列 ['X']、6 行(戦略を事象ごとに呼ぶ口・注文・約定の物は無く、損益は建玉と値の系列の式)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p3-clock-timer	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""clock_calls_ns"": [1700352000000000000]}"	PyTrendFollow の検証は accountCurve(銘柄・建玉の系列・値の系列)の式で、事象を流す機関・事象ごとに呼ぶ戦略・注文・約定・時計・口座の物が無い。約定・遅延・費用・口座を差し込む口も無い(損益は accountcurve.py の 4 つの式の和、建玉は 2 期ずらし、費用は銘柄の commission の数)。試したこと: trading.accountcurve.accountCurve(<name/commission=0.5/spread=0/point_value=1 の銘柄>, positions=<6 日の建玉の系列>, panama_prices=<6 日の値の系列>, nofx=True, multiproc=False).returns() -> 列 ['X']、6 行(戦略を事象ごとに呼ぶ口・注文・約定の物は無く、損益は建玉と値の系列の式)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p3-notice-accepted	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""notices"": [""accepted""]}"	PyTrendFollow の検証は accountCurve(銘柄・建玉の系列・値の系列)の式で、事象を流す機関・事象ごとに呼ぶ戦略・注文・約定・時計・口座の物が無い。約定・遅延・費用・口座を差し込む口も無い(損益は accountcurve.py の 4 つの式の和、建玉は 2 期ずらし、費用は銘柄の commission の数)。試したこと: trading.accountcurve.accountCurve(<name/commission=0.5/spread=0/point_value=1 の銘柄>, positions=<6 日の建玉の系列>, panama_prices=<6 日の値の系列>, nofx=True, multiproc=False).returns() -> 列 ['X']、6 行(戦略を事象ごとに呼ぶ口・注文・約定の物は無く、損益は建玉と値の系列の式)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p3-notice-rejected	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""notices"": [""rejected""]}"	PyTrendFollow の検証は accountCurve(銘柄・建玉の系列・値の系列)の式で、事象を流す機関・事象ごとに呼ぶ戦略・注文・約定・時計・口座の物が無い。約定・遅延・費用・口座を差し込む口も無い(損益は accountcurve.py の 4 つの式の和、建玉は 2 期ずらし、費用は銘柄の commission の数)。試したこと: trading.accountcurve.accountCurve(<name/commission=0.5/spread=0/point_value=1 の銘柄>, positions=<6 日の建玉の系列>, panama_prices=<6 日の値の系列>, nofx=True, multiproc=False).returns() -> 列 ['X']、6 行(戦略を事象ごとに呼ぶ口・注文・約定の物は無く、損益は建玉と値の系列の式)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p3-notice-filled	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""filled_qty_in_notices"": 1.0}"	PyTrendFollow の検証は accountCurve(銘柄・建玉の系列・値の系列)の式で、事象を流す機関・事象ごとに呼ぶ戦略・注文・約定・時計・口座の物が無い。約定・遅延・費用・口座を差し込む口も無い(損益は accountcurve.py の 4 つの式の和、建玉は 2 期ずらし、費用は銘柄の commission の数)。試したこと: trading.accountcurve.accountCurve(<name/commission=0.5/spread=0/point_value=1 の銘柄>, positions=<6 日の建玉の系列>, panama_prices=<6 日の値の系列>, nofx=True, multiproc=False).returns() -> 列 ['X']、6 行(戦略を事象ごとに呼ぶ口・注文・約定の物は無く、損益は建玉と値の系列の式)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p4-visible-at-step	P0-4	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""max_visible_close"": 103.0, ""visible_count"": 4}"	PyTrendFollow の検証は accountCurve(銘柄・建玉の系列・値の系列)の式で、事象を流す機関・事象ごとに呼ぶ戦略・注文・約定・時計・口座の物が無い。約定・遅延・費用・口座を差し込む口も無い(損益は accountcurve.py の 4 つの式の和、建玉は 2 期ずらし、費用は銘柄の commission の数)。試したこと: trading.accountcurve.accountCurve(<name/commission=0.5/spread=0/point_value=1 の銘柄>, positions=<6 日の建玉の系列>, panama_prices=<6 日の値の系列>, nofx=True, multiproc=False).returns() -> 列 ['X']、6 行(戦略を事象ごとに呼ぶ口・注文・約定の物は無く、損益は建玉と値の系列の式)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p4-received-time	P0-4	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""price101_delivered_at_ns"": 1700265600000000000, ""price101_visible_at_day2"": false, ""price101_visible_at_day4"": true}"	PyTrendFollow の検証は accountCurve(銘柄・建玉の系列・値の系列)の式で、事象を流す機関・事象ごとに呼ぶ戦略・注文・約定・時計・口座の物が無い。約定・遅延・費用・口座を差し込む口も無い(損益は accountcurve.py の 4 つの式の和、建玉は 2 期ずらし、費用は銘柄の commission の数)。試したこと: trading.accountcurve.accountCurve(<name/commission=0.5/spread=0/point_value=1 の銘柄>, positions=<6 日の建玉の系列>, panama_prices=<6 日の値の系列>, nofx=True, multiproc=False).returns() -> 列 ['X']、6 行(戦略を事象ごとに呼ぶ口・注文・約定の物は無く、損益は建玉と値の系列の式)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p4-future-read-attempt	P0-4	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""every_attempt_stopped_by_error"": true, ""future_value_obtained"": false}"	PyTrendFollow の検証は accountCurve(銘柄・建玉の系列・値の系列)の式で、事象を流す機関・事象ごとに呼ぶ戦略・注文・約定・時計・口座の物が無い。約定・遅延・費用・口座を差し込む口も無い(損益は accountcurve.py の 4 つの式の和、建玉は 2 期ずらし、費用は銘柄の commission の数)。試したこと: trading.accountcurve.accountCurve(<name/commission=0.5/spread=0/point_value=1 の銘柄>, positions=<6 日の建玉の系列>, panama_prices=<6 日の値の系列>, nofx=True, multiproc=False).returns() -> 列 ['X']、6 行(戦略を事象ごとに呼ぶ口・注文・約定の物は無く、損益は建玉と値の系列の式)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p5-same-time-twice	P0-5	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""delivered_as_multiset"": [[""bar"", 1700092800000000000], [""book_delta"", 1700092800000000000], [""book_snapshot"", 1700092800000000000], [""trade"", 1700092800000000000]], ""follows_stated_rule"": true}"	型の選び方(runner、第 r8-1 回): 設定つき対象の持つ型 [] は 0 種で、この場面の最低 2 種に足りない(同じ実行の p3 の採点: p3-trade: 対応なし / p3-book_snapshot: 対応なし / p3-book_delta: 対応なし / p3-bar: 対応なし / p3-funding: 対応なし / p3-liquidation: 対応なし)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p5-hand-over-order	P0-5	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""every_run_delivers_each_once"": true, ""every_run_follows_stated_rule"": true, ""same_order_whatever_the_hand_over"": true}"	型の選び方(runner、第 r8-1 回): 設定つき対象の持つ型 [] は 0 種で、この場面の最低 2 種に足りない(同じ実行の p3 の採点: p3-trade: 対応なし / p3-book_snapshot: 対応なし / p3-book_delta: 対応なし / p3-bar: 対応なし / p3-funding: 対応なし / p3-liquidation: 対応なし)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p5-same-stream-order	P0-5	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""prices"": [101.0, 99.0, 100.0]}"	PyTrendFollow の検証は accountCurve(銘柄・建玉の系列・値の系列)の式で、事象を流す機関・事象ごとに呼ぶ戦略・注文・約定・時計・口座の物が無い。約定・遅延・費用・口座を差し込む口も無い(損益は accountcurve.py の 4 つの式の和、建玉は 2 期ずらし、費用は銘柄の commission の数)。試したこと: trading.accountcurve.accountCurve(<name/commission=0.5/spread=0/point_value=1 の銘柄>, positions=<6 日の建玉の系列>, panama_prices=<6 日の値の系列>, nofx=True, multiproc=False).returns() -> 列 ['X']、6 行(戦略を事象ごとに呼ぶ口・注文・約定の物は無く、損益は建玉と値の系列の式)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p6-place-then-cancel	P0-6	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""open_at_call2"": 1, ""open_at_call3"": 0}"	PyTrendFollow の検証は accountCurve(銘柄・建玉の系列・値の系列)の式で、事象を流す機関・事象ごとに呼ぶ戦略・注文・約定・時計・口座の物が無い。約定・遅延・費用・口座を差し込む口も無い(損益は accountcurve.py の 4 つの式の和、建玉は 2 期ずらし、費用は銘柄の commission の数)。試したこと: trading.accountcurve.accountCurve(<name/commission=0.5/spread=0/point_value=1 の銘柄>, positions=<6 日の建玉の系列>, panama_prices=<6 日の値の系列>, nofx=True, multiproc=False).returns() -> 列 ['X']、6 行(戦略を事象ごとに呼ぶ口・注文・約定の物は無く、損益は建玉と値の系列の式)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p6-cancel-notice	P0-6	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""cancel_notice_received"": true}"	PyTrendFollow の検証は accountCurve(銘柄・建玉の系列・値の系列)の式で、事象を流す機関・事象ごとに呼ぶ戦略・注文・約定・時計・口座の物が無い。約定・遅延・費用・口座を差し込む口も無い(損益は accountcurve.py の 4 つの式の和、建玉は 2 期ずらし、費用は銘柄の commission の数)。試したこと: trading.accountcurve.accountCurve(<name/commission=0.5/spread=0/point_value=1 の銘柄>, positions=<6 日の建玉の系列>, panama_prices=<6 日の値の系列>, nofx=True, multiproc=False).returns() -> 列 ['X']、6 行(戦略を事象ごとに呼ぶ口・注文・約定の物は無く、損益は建玉と値の系列の式)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p6-fill-seen-by-strategy	P0-6	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""filled_qty_at_call3"": 1.0}"	PyTrendFollow の検証は accountCurve(銘柄・建玉の系列・値の系列)の式で、事象を流す機関・事象ごとに呼ぶ戦略・注文・約定・時計・口座の物が無い。約定・遅延・費用・口座を差し込む口も無い(損益は accountcurve.py の 4 つの式の和、建玉は 2 期ずらし、費用は銘柄の commission の数)。試したこと: trading.accountcurve.accountCurve(<name/commission=0.5/spread=0/point_value=1 の銘柄>, positions=<6 日の建玉の系列>, panama_prices=<6 日の値の系列>, nofx=True, multiproc=False).returns() -> 列 ['X']、6 行(戦略を事象ごとに呼ぶ口・注文・約定の物は無く、損益は建玉と値の系列の式)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p7-fill-model-swap	P0-7	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fill_price"": 12345.0}"	PyTrendFollow の検証は accountCurve(銘柄・建玉の系列・値の系列)の式で、事象を流す機関・事象ごとに呼ぶ戦略・注文・約定・時計・口座の物が無い。約定・遅延・費用・口座を差し込む口も無い(損益は accountcurve.py の 4 つの式の和、建玉は 2 期ずらし、費用は銘柄の commission の数)。試したこと: trading.accountcurve.accountCurve(<name/commission=0.5/spread=0/point_value=1 の銘柄>, positions=<6 日の建玉の系列>, panama_prices=<6 日の値の系列>, nofx=True, multiproc=False).returns() -> 列 ['X']、6 行(戦略を事象ごとに呼ぶ口・注文・約定の物は無く、損益は建玉と値の系列の式)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p7-latency-model-swap	P0-7	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fill_time_ns"": 1700006400007000000}"	PyTrendFollow の検証は accountCurve(銘柄・建玉の系列・値の系列)の式で、事象を流す機関・事象ごとに呼ぶ戦略・注文・約定・時計・口座の物が無い。約定・遅延・費用・口座を差し込む口も無い(損益は accountcurve.py の 4 つの式の和、建玉は 2 期ずらし、費用は銘柄の commission の数)。試したこと: trading.accountcurve.accountCurve(<name/commission=0.5/spread=0/point_value=1 の銘柄>, positions=<6 日の建玉の系列>, panama_prices=<6 日の値の系列>, nofx=True, multiproc=False).returns() -> 列 ['X']、6 行(戦略を事象ごとに呼ぶ口・注文・約定の物は無く、損益は建玉と値の系列の式)	null	{}	[]	null	[]	[]	null
opp_pytrendfollow	p7-cost-model-swap	P0-7	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fee"": 0.5}"	PyTrendFollow の検証は accountCurve(銘柄・建玉の系列・値の系列)の式で、事象を流す機関・事象ごとに呼ぶ戦略・注文・約定・時計・口座の物が無い。約定・遅延・費用・口座を差し込む口も無い(損益は accountcurve.py の 4 つの式の和、建玉は 2 期ずらし、費用は銘柄の commission の数)。試したこと: trading.accountcurve.accountCurve(<name/commission=0.5/spread=0/point_value=1 の銘柄>, positions=<6 日の建玉の系列>, panama_prices=<6 日の値の系列>, nofx=True, multiproc=False).returns() -> 列 ['X']、6 行(戦略を事象ごとに呼ぶ口・注文・約定の物は無く、損益は建玉と値の系列の式)	null	{}	[]	null	[]	[]	null
