target	scene_id	viewpoint	kind	correctness	correctness_run2	reproducibility	status_1	output_1	status_2	output_2	expected	detail_1	provenance_1	choose	settings_1	types_1	types_in	types_added	requests
opp_pybotters	p1-merge-by-time	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""book_snapshot"", 1700092800000000000], [""trade"", 1700179200000000000], [""book_delta"", 1700265600000000000], [""book_snapshot"", 1700352000000000000], [""trade"", 1700438400000000000]]}"	型の選び方(runner、第 r8-1 回): 設定つき対象の持つ型 ['trade'] は 1 種で、この場面の最低 2 種に足りない(同じ実行の p3 の採点: p3-trade: 正解と一致 / p3-book_snapshot: 対応なし / p3-book_delta: 対応なし / p3-bar: 対応なし / p3-funding: 対応なし / p3-liquidation: 対応なし)	null	"{""store"": ""bitFlyerDataStore""}"	[]	null	[]	[]	null
opp_pybotters	p1-one-call-per-event	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""observed_ts_ns"": [1700092800000000000, 1700179200000000000, 1700265600000000000, 1700352000000000000, 1700438400000000000]}"	pybotters は取引所の API の窓口と、websocket の文を当てる DataStore で、模擬の時刻・注文・約定を持つバックテストの機関が無い。試したこと: pybotters.Backtest -> AttributeError: module 'pybotters' has no attribute 'Backtest'。公開の名前で backtest/sim/engine を含むもの: []	null	"{""store"": ""bitFlyerDataStore""}"	[]	null	[]	[]	null
opp_pybotters	p1-typed-events	P0-1	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""trade"", 1700092800000000000], [""book_snapshot"", 1700179200000000000]]}"	型の選び方(runner、第 r8-1 回): 設定つき対象の持つ型 ['trade'] は 1 種で、この場面の最低 2 種に足りない(同じ実行の p3 の採点: p3-trade: 正解と一致 / p3-book_snapshot: 対応なし / p3-book_delta: 対応なし / p3-bar: 対応なし / p3-funding: 対応なし / p3-liquidation: 対応なし)	null	"{""store"": ""bitFlyerDataStore""}"	[]	null	[]	[]	null
opp_pybotters	p2-iso-utc	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	pybotters は取引所の API の窓口と、websocket の文を当てる DataStore で、模擬の時刻・注文・約定を持つバックテストの機関が無い。試したこと: pybotters.Backtest -> AttributeError: module 'pybotters' has no attribute 'Backtest'。公開の名前で backtest/sim/engine を含むもの: []	null	"{""store"": ""bitFlyerDataStore""}"	[]	null	[]	[]	null
opp_pybotters	p2-iso-offset	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	pybotters は取引所の API の窓口と、websocket の文を当てる DataStore で、模擬の時刻・注文・約定を持つバックテストの機関が無い。試したこと: pybotters.Backtest -> AttributeError: module 'pybotters' has no attribute 'Backtest'。公開の名前で backtest/sim/engine を含むもの: []	null	"{""store"": ""bitFlyerDataStore""}"	[]	null	[]	[]	null
opp_pybotters	p2-event-time-exact	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""observed_ts_ns"": [1700006400123456789]}"	pybotters は取引所の API の窓口と、websocket の文を当てる DataStore で、模擬の時刻・注文・約定を持つバックテストの機関が無い。試したこと: pybotters.Backtest -> AttributeError: module 'pybotters' has no attribute 'Backtest'。公開の名前で backtest/sim/engine を含むもの: []	null	"{""store"": ""bitFlyerDataStore""}"	[]	null	[]	[]	null
opp_pybotters	p2-one-ns-apart	P0-2	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	pybotters は取引所の API の窓口と、websocket の文を当てる DataStore で、模擬の時刻・注文・約定を持つバックテストの機関が無い。試したこと: pybotters.Backtest -> AttributeError: module 'pybotters' has no attribute 'Backtest'。公開の名前で backtest/sim/engine を含むもの: []	null	"{""store"": ""bitFlyerDataStore""}"	[]	null	[]	[]	null
opp_pybotters	p2-s-text	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""int64_ns"": 1704067200123456789}"	pybotters は取引所の API の窓口と、websocket の文を当てる DataStore で、模擬の時刻・注文・約定を持つバックテストの機関が無い。試したこと: pybotters.Backtest -> AttributeError: module 'pybotters' has no attribute 'Backtest'。公開の名前で backtest/sim/engine を含むもの: []	null	"{""store"": ""bitFlyerDataStore""}"	[]	null	[]	[]	null
opp_pybotters	p2-s-text-subns	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""int64_ns"": ""無い(入力が持つ値にナノ秒より細かい端数がある。どの整数も入力と違う時刻)"", ""refused_by_entry"": true}"	pybotters は取引所の API の窓口と、websocket の文を当てる DataStore で、模擬の時刻・注文・約定を持つバックテストの機関が無い。試したこと: pybotters.Backtest -> AttributeError: module 'pybotters' has no attribute 'Backtest'。公開の名前で backtest/sim/engine を含むもの: []	null	"{""store"": ""bitFlyerDataStore""}"	[]	null	[]	[]	null
opp_pybotters	p2-s-int	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""int64_ns"": 1704067200000000000}"	pybotters は取引所の API の窓口と、websocket の文を当てる DataStore で、模擬の時刻・注文・約定を持つバックテストの機関が無い。試したこと: pybotters.Backtest -> AttributeError: module 'pybotters' has no attribute 'Backtest'。公開の名前で backtest/sim/engine を含むもの: []	null	"{""store"": ""bitFlyerDataStore""}"	[]	null	[]	[]	null
opp_pybotters	p2-s-float-held	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""int64_ns"": 1704067200001953125}"	pybotters は取引所の API の窓口と、websocket の文を当てる DataStore で、模擬の時刻・注文・約定を持つバックテストの機関が無い。試したこと: pybotters.Backtest -> AttributeError: module 'pybotters' has no attribute 'Backtest'。公開の名前で backtest/sim/engine を含むもの: []	null	"{""store"": ""bitFlyerDataStore""}"	[]	null	[]	[]	null
opp_pybotters	p2-s-float-subns	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""int64_ns"": ""無い(入力が持つ値にナノ秒より細かい端数がある。どの整数も入力と違う時刻)"", ""refused_by_entry"": true}"	pybotters は取引所の API の窓口と、websocket の文を当てる DataStore で、模擬の時刻・注文・約定を持つバックテストの機関が無い。試したこと: pybotters.Backtest -> AttributeError: module 'pybotters' has no attribute 'Backtest'。公開の名前で backtest/sim/engine を含むもの: []	null	"{""store"": ""bitFlyerDataStore""}"	[]	null	[]	[]	null
opp_pybotters	p2-ms-text	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""int64_ns"": 1704067200123456789}"	pybotters は取引所の API の窓口と、websocket の文を当てる DataStore で、模擬の時刻・注文・約定を持つバックテストの機関が無い。試したこと: pybotters.Backtest -> AttributeError: module 'pybotters' has no attribute 'Backtest'。公開の名前で backtest/sim/engine を含むもの: []	null	"{""store"": ""bitFlyerDataStore""}"	[]	null	[]	[]	null
