target	scene_id	viewpoint	kind	correctness	correctness_run2	reproducibility	status_1	output_1	status_2	output_2	expected	detail_1
repro_33_execution_simulator	p1-merge-by-time	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000], [""funding"", 1700265600000000000], [""bar"", 1700352000000000000], [""trade"", 1700438400000000000]]}"	再現の範囲外: 候補 33 は P0-7 の候補(pool.tsv)で、この再現は P0-7 の機構(事象の列・発注と取消の遅延・滑りと費用の模型の setter・約定の道)だけを一次資料から書き直した
repro_33_execution_simulator	p1-one-call-per-event	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}"	再現の範囲外: 候補 33 は P0-7 の候補(pool.tsv)で、この再現は P0-7 の機構(事象の列・発注と取消の遅延・滑りと費用の模型の setter・約定の道)だけを一次資料から書き直した
repro_33_execution_simulator	p1-typed-events	P0-1	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000]]}"	再現の範囲外: 候補 33 は P0-7 の候補(pool.tsv)で、この再現は P0-7 の機構(事象の列・発注と取消の遅延・滑りと費用の模型の setter・約定の道)だけを一次資料から書き直した
repro_33_execution_simulator	p2-iso-utc	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	再現の範囲外: 候補 33 は P0-7 の候補(pool.tsv)で、この再現は P0-7 の機構(事象の列・発注と取消の遅延・滑りと費用の模型の setter・約定の道)だけを一次資料から書き直した
repro_33_execution_simulator	p2-iso-offset	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	再現の範囲外: 候補 33 は P0-7 の候補(pool.tsv)で、この再現は P0-7 の機構(事象の列・発注と取消の遅延・滑りと費用の模型の setter・約定の道)だけを一次資料から書き直した
repro_33_execution_simulator	p2-event-time-exact	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""observed_ts_ns"": [1700006400123456789]}"	再現の範囲外: 候補 33 は P0-7 の候補(pool.tsv)で、この再現は P0-7 の機構(事象の列・発注と取消の遅延・滑りと費用の模型の setter・約定の道)だけを一次資料から書き直した
repro_33_execution_simulator	p2-one-ns-apart	P0-2	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	再現の範囲外: 候補 33 は P0-7 の候補(pool.tsv)で、この再現は P0-7 の機構(事象の列・発注と取消の遅延・滑りと費用の模型の setter・約定の道)だけを一次資料から書き直した
repro_33_execution_simulator	p3-trade	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01, ""side"": ""buy""}, ""sequence"": [[""trade"", 1700092800000000000]]}"	再現の範囲外: 候補 33 は P0-7 の候補(pool.tsv)で、この再現は P0-7 の機構(事象の列・発注と取消の遅延・滑りと費用の模型の setter・約定の道)だけを一次資料から書き直した
repro_33_execution_simulator	p3-book_snapshot	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	再現の範囲外: 候補 33 は P0-7 の候補(pool.tsv)で、この再現は P0-7 の機構(事象の列・発注と取消の遅延・滑りと費用の模型の setter・約定の道)だけを一次資料から書き直した
repro_33_execution_simulator	p3-book_delta	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012000.0, ""qty"": 0.3, ""side"": ""bid""}, ""sequence"": [[""book_delta"", 1700092800000000000]]}"	再現の範囲外: 候補 33 は P0-7 の候補(pool.tsv)で、この再現は P0-7 の機構(事象の列・発注と取消の遅延・滑りと費用の模型の setter・約定の道)だけを一次資料から書き直した
repro_33_execution_simulator	p3-bar	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""close"": 100.5, ""high"": 101.0, ""low"": 99.0, ""open"": 100.0, ""volume"": 12.0}, ""sequence"": [[""bar"", 1700092800000000000]]}"	再現の範囲外: 候補 33 は P0-7 の候補(pool.tsv)で、この再現は P0-7 の機構(事象の列・発注と取消の遅延・滑りと費用の模型の setter・約定の道)だけを一次資料から書き直した
repro_33_execution_simulator	p3-funding	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""rate"": 0.0001}, ""sequence"": [[""funding"", 1700092800000000000]]}"	再現の範囲外: 候補 33 は P0-7 の候補(pool.tsv)で、この再現は P0-7 の機構(事象の列・発注と取消の遅延・滑りと費用の模型の setter・約定の道)だけを一次資料から書き直した
repro_33_execution_simulator	p3-liquidation	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 4990000.0, ""qty"": 0.2, ""side"": ""sell""}, ""sequence"": [[""liquidation"", 1700092800000000000]]}"	再現の範囲外: 候補 33 は P0-7 の候補(pool.tsv)で、この再現は P0-7 の機構(事象の列・発注と取消の遅延・滑りと費用の模型の setter・約定の道)だけを一次資料から書き直した
repro_33_execution_simulator	p3-mixed-one-run	P0-3	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""trade"", 1700092800000000000], [""book_snapshot"", 1700179200000000000], [""book_delta"", 1700265600000000000], [""bar"", 1700352000000000000], [""funding"", 1700438400000000000], [""liquidation"", 1700524800000000000]]}"	再現の範囲外: 候補 33 は P0-7 の候補(pool.tsv)で、この再現は P0-7 の機構(事象の列・発注と取消の遅延・滑りと費用の模型の setter・約定の道)だけを一次資料から書き直した
repro_33_execution_simulator	p3-clock-timer	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""clock_calls_ns"": [1700352000000000000]}"	再現の範囲外: 候補 33 は P0-7 の候補(pool.tsv)で、この再現は P0-7 の機構(事象の列・発注と取消の遅延・滑りと費用の模型の setter・約定の道)だけを一次資料から書き直した
repro_33_execution_simulator	p3-notice-accepted	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""notices"": [""accepted""]}"	再現の範囲外: 候補 33 は P0-7 の候補(pool.tsv)で、この再現は P0-7 の機構(事象の列・発注と取消の遅延・滑りと費用の模型の setter・約定の道)だけを一次資料から書き直した
repro_33_execution_simulator	p3-notice-rejected	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""notices"": [""rejected""]}"	再現の範囲外: 候補 33 は P0-7 の候補(pool.tsv)で、この再現は P0-7 の機構(事象の列・発注と取消の遅延・滑りと費用の模型の setter・約定の道)だけを一次資料から書き直した
repro_33_execution_simulator	p3-notice-filled	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""filled_qty_in_notices"": 1.0}"	再現の範囲外: 候補 33 は P0-7 の候補(pool.tsv)で、この再現は P0-7 の機構(事象の列・発注と取消の遅延・滑りと費用の模型の setter・約定の道)だけを一次資料から書き直した
repro_33_execution_simulator	p4-visible-at-step	P0-4	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""max_visible_close"": 103.0, ""visible_count"": 4}"	再現の範囲外: 候補 33 は P0-7 の候補(pool.tsv)で、この再現は P0-7 の機構(事象の列・発注と取消の遅延・滑りと費用の模型の setter・約定の道)だけを一次資料から書き直した
repro_33_execution_simulator	p4-received-time	P0-4	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""price101_delivered_at_ns"": 1700265600000000000, ""price101_visible_at_day2"": false, ""price101_visible_at_day4"": true}"	再現の範囲外: 候補 33 は P0-7 の候補(pool.tsv)で、この再現は P0-7 の機構(事象の列・発注と取消の遅延・滑りと費用の模型の setter・約定の道)だけを一次資料から書き直した
repro_33_execution_simulator	p4-future-read-attempt	P0-4	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""every_attempt_stopped_by_error"": true, ""future_value_obtained"": false}"	再現の範囲外: 候補 33 は P0-7 の候補(pool.tsv)で、この再現は P0-7 の機構(事象の列・発注と取消の遅延・滑りと費用の模型の setter・約定の道)だけを一次資料から書き直した
