scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
v1-bitflyer-rest	V1	値	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	0.001	0.0
v1-bitflyer-us-gz	V1	値	結果なし	adapter: read_csv_data_frame に見出しの無いファイル・区切り文字・圧縮の引数が無い	-	結果なし	adapter: read_csv_data_frame に見出しの無いファイル・区切り文字・圧縮の引数が無い	-	結果なし	0.001	0.0
v1-binance-aggtrades	V1	値	結果なし	adapter: read_csv_data_frame に見出しの無いファイル・区切り文字・圧縮の引数が無い	-	結果なし	adapter: read_csv_data_frame に見出しの無いファイル・区切り文字・圧縮の引数が無い	-	結果なし	0.0	0.0
v1-fx-ticks	V1	値	不一致	events.fx[0].t_ns: 1767965400000000000(正解 1767965400123000000)	b3cec9f150302563	不一致	events.fx[0].t_ns: 1767965400000000000(正解 1767965400123000000)	b3cec9f150302563	2 回の実行で同じ	0.004	0.004
v1-jpx-1m	V1	値	結果なし	adapter: read_csv_data_frame は時刻を最初の 1 列から読む(2 列を合わせる引数が無い)	-	結果なし	adapter: read_csv_data_frame は時刻を最初の 1 列から読む(2 列を合わせる引数が無い)	-	結果なし	0.0	0.0
v1-bitflyer-board-top10	V1	値	結果なし	adapter: read_csv_data_frame に見出しの無いファイル・区切り文字・圧縮の引数が無い	-	結果なし	adapter: read_csv_data_frame に見出しの無いファイル・区切り文字・圧縮の引数が無い	-	結果なし	0.001	0.0
v1-funding-and-liquidations	V1	値	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	0.001	0.0
v1-all-assets-one-call	V1	能力	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	0.002	0.002
v1-generic-shape	V1	能力	結果なし	adapter: read_csv_data_frame に見出しの無いファイル・区切り文字・圧縮の引数が無い	-	結果なし	adapter: read_csv_data_frame に見出しの無いファイル・区切り文字・圧縮の引数が無い	-	結果なし	0.001	0.001
v2-same-instant-4-units	V2	値	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	0.001	0.0
v2-iso-offsets	V2	値	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	0.0	0.0
v2-naive-local-tz	V2	値	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	0.0	0.0
v3-clean-control	V3	値	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	0.0	0.0
v3-duplicate-and-conflict	V3	値	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	0.0	0.0
v3-backward	V3	値	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	0.0	0.0
v3-gap-bars	V3	値	不一致	anomalies.gap: [](正解 [('gap', 1767571380000000000), ('gap', 1767571440000000000), ('gap', 1767571620000000000)])	bf6e50001f421f1b	不一致	anomalies.gap: [](正解 [('gap', 1767571380000000000), ('gap', 1767571440000000000), ('gap', 1767571620000000000)])	bf6e50001f421f1b	2 回の実行で同じ	0.002	0.003
v3-generations	V3	値	結果なし	adapter: findatapy の read_csv_data_frame は 1 ファイルずつ(複数の世代を 1 つのデータとして読む口が無い)	-	結果なし	adapter: findatapy の read_csv_data_frame は 1 ファイルずつ(複数の世代を 1 つのデータとして読む口が無い)	-	結果なし	0.001	0.0
v4-sha256-values	V4	値	結果なし	adapter: finmarketpy / findatapy に読んだファイルの sha256 を記録する口が無い	-	結果なし	adapter: finmarketpy / findatapy に読んだファイルの sha256 を記録する口が無い	-	結果なし	0.001	0.0
v4-sha256-distinguishes	V4	能力	結果なし	adapter: finmarketpy / findatapy に読んだファイルの sha256 を記録する口が無い	-	結果なし	adapter: finmarketpy / findatapy に読んだファイルの sha256 を記録する口が無い	-	結果なし	0.001	0.0
v5-reject-qa	V5	能力	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	0.0	0.0
v5-reject-o3c	V5	能力	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	0.0	0.0
v5-reject-phase2-runs	V5	能力	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	0.0	0.0
v5-reject-dotdot	V5	能力	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	0.001	0.0
v5-reject-symlink	V5	能力	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	0.001	0.0
v5-seal-boundary	V5	値	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	adapter: read_csv_data_frame は全列を float32 にするので、文字列の列(売買の向き)を持つ約定の形を読めない	-	結果なし	0.001	0.0
