scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
c2-1-market	C2-1	値	対応なし	ValueError: mid_price must be within [0, 1]	4b835230124ebe48	対応なし	ValueError: mid_price must be within [0, 1]	4b835230124ebe48	2 回の実行で同じ	0.0	0.0
c2-1-limit	C2-1	値	対応なし	ValidationError: 1 validation error for OrderIntent limit_price   Input should be less than or equal to 1 [type=less_than_equal, input_value=9990.0, input_type=float]     For further information visit https://errors.p	4b835230124ebe48	対応なし	ValidationError: 1 validation error for OrderIntent limit_price   Input should be less than or equal to 1 [type=less_than_equal, input_value=9990.0, input_type=float]     For further information visit https://errors.p	4b835230124ebe48	2 回の実行で同じ	0.0	0.0
c2-1-postonly	C2-1	値	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 公開の口に post_only が無い	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 公開の口に post_only が無い	-	結果なし	0.0	0.0
c2-1-ioc	C2-1	値	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 公開の口に IOC が無い	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 公開の口に IOC が無い	-	結果なし	0.0	0.0
c2-1-fok	C2-1	値	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 公開の口に FOK が無い	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 公開の口に FOK が無い	-	結果なし	0.0	0.0
c2-1-stop	C2-1	値	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 公開の口に stop が無い	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 公開の口に stop が無い	-	結果なし	0.0	0.0
c2-1-reduceonly	C2-1	値	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 公開の口に reduce_only が無い	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 公開の口に reduce_only が無い	-	結果なし	0.0	0.0
c2-1-oco	C2-1	値	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 公開の口に oco が無い	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 公開の口に oco が無い	-	結果なし	0.0	0.0
c2-2-cancel	C2-2	値	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 公開の口に cancel が無い	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 公開の口に cancel が無い	-	結果なし	0.0	0.0
c2-2-amend-price	C2-2	値	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 公開の口に amend が無い	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 公開の口に amend が無い	-	結果なし	0.0	0.0
c2-2-amend-qty	C2-2	能力	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 公開の口に amend が無い	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 公開の口に amend が無い	-	結果なし	0.0	0.0
c2-2-partial	C2-2	能力	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 公開の口に cancel が無い	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 公開の口に cancel が無い	-	結果なし	0.0	0.0
c2-3-tick	C2-3	値	対応なし	ValidationError: 1 validation error for OrderIntent limit_price   Input should be less than or equal to 1 [type=less_than_equal, input_value=9990.5, input_type=float]     For further information visit https://errors.p	4b835230124ebe48	対応なし	ValidationError: 1 validation error for OrderIntent limit_price   Input should be less than or equal to 1 [type=less_than_equal, input_value=9990.5, input_type=float]     For further information visit https://errors.p	4b835230124ebe48	2 回の実行で同じ	0.0	0.0
c2-3-minqty	C2-3	値	対応なし	ValueError: mid_price must be within [0, 1]	4b835230124ebe48	対応なし	ValueError: mid_price must be within [0, 1]	4b835230124ebe48	2 回の実行で同じ	0.0	0.0
c2-3-round	C2-3	能力	対応なし	ValidationError: 1 validation error for OrderIntent limit_price   Input should be less than or equal to 1 [type=less_than_equal, input_value=9990.7, input_type=float]     For further information visit https://errors.p	4b835230124ebe48	対応なし	ValidationError: 1 validation error for OrderIntent limit_price   Input should be less than or equal to 1 [type=less_than_equal, input_value=9990.7, input_type=float]     For further information visit https://errors.p	4b835230124ebe48	2 回の実行で同じ	0.0	0.0
c2-3-stp	C2-3	値	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 足にする約定も足も無い(道具の入力は約定から作った足)	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 足にする約定も足も無い(道具の入力は約定から作った足)	-	結果なし	0.0	0.0
c2-3-jpx-session	C2-3	値	対応なし	ValueError: mid_price must be within [0, 1]	4b835230124ebe48	対応なし	ValueError: mid_price must be within [0, 1]	4b835230124ebe48	2 回の実行で同じ	0.0	0.0
c2-3-jpx-limit	C2-3	値	対応なし	ValidationError: 1 validation error for OrderIntent limit_price   Input should be less than or equal to 1 [type=less_than_equal, input_value=1350.0, input_type=float]     For further information visit https://errors.p	4b835230124ebe48	対応なし	ValidationError: 1 validation error for OrderIntent limit_price   Input should be less than or equal to 1 [type=less_than_equal, input_value=1350.0, input_type=float]     For further information visit https://errors.p	4b835230124ebe48	2 回の実行で同じ	0.0	0.0
c2-3-fx-weekend	C2-3	値	対応なし	ValueError: mid_price must be within [0, 1]	4b835230124ebe48	対応なし	ValueError: mid_price must be within [0, 1]	4b835230124ebe48	2 回の実行で同じ	0.0	0.0
c2-4-reject	C2-4	値	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	0.0	0.0
c2-4-timeout	C2-4	値	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	0.0	0.0
c2-4-unknown	C2-4	値	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	0.0	0.0
c2-4-kill	C2-4	値	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 公開の口に kill が無い	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 公開の口に kill が無い	-	結果なし	0.0	0.0
c2-5-tier0	C2-5	能力	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 段 0 を選ぶ口が無い(約定は足の終値 ± 広がりの半分 ± 滑りの 1 つだけ)	-	結果なし	adapter: prediction-market-backtester(c77dff7) pm_bt: 段 0 を選ぶ口が無い(約定は足の終値 ± 広がりの半分 ± 滑りの 1 つだけ)	-	結果なし	0.0	0.0
