scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
c2-1-market	C2-1	値	正解と一致		dfb2da5c24c2dfe9	正解と一致		dfb2da5c24c2dfe9	2 回の実行で同じ	0.002	0.002
c2-1-limit	C2-1	値	正解と一致		c88d7b4ec229610f	正解と一致		c88d7b4ec229610f	2 回の実行で同じ	0.001	0.002
c2-1-postonly	C2-1	値	結果なし	adapter: Basana 1.11: 公開の口に post_only が無い	-	結果なし	adapter: Basana 1.11: 公開の口に post_only が無い	-	結果なし	0.0	0.0
c2-1-ioc	C2-1	値	結果なし	adapter: Basana 1.11: 公開の口に IOC が無い	-	結果なし	adapter: Basana 1.11: 公開の口に IOC が無い	-	結果なし	0.0	0.0
c2-1-fok	C2-1	値	結果なし	adapter: Basana 1.11: 公開の口に FOK が無い	-	結果なし	adapter: Basana 1.11: 公開の口に FOK が無い	-	結果なし	0.0	0.0
c2-1-stop	C2-1	値	正解と一致		2c9d2122bb1ecd5d	正解と一致		2c9d2122bb1ecd5d	2 回の実行で同じ	0.001	0.002
c2-1-reduceonly	C2-1	値	結果なし	adapter: Basana 1.11: 公開の口に reduce_only が無い	-	結果なし	adapter: Basana 1.11: 公開の口に reduce_only が無い	-	結果なし	0.0	0.0
c2-1-oco	C2-1	値	結果なし	adapter: Basana 1.11: 公開の口に oco が無い	-	結果なし	adapter: Basana 1.11: 公開の口に oco が無い	-	結果なし	0.0	0.0
c2-2-cancel	C2-2	値	正解と一致		b34d43b23d64e77f	正解と一致		b34d43b23d64e77f	2 回の実行で同じ	0.001	0.001
c2-2-amend-price	C2-2	値	結果なし	adapter: Basana 1.11: 公開の口に amend が無い	-	結果なし	adapter: Basana 1.11: 公開の口に amend が無い	-	結果なし	0.0	0.0
c2-2-amend-qty	C2-2	能力	結果なし	adapter: Basana 1.11: 公開の口に amend が無い	-	結果なし	adapter: Basana 1.11: 公開の口に amend が無い	-	結果なし	0.0	0.0
c2-2-partial	C2-2	能力	正解と一致		491e4d8c2d4edaca	正解と一致		491e4d8c2d4edaca	2 回の実行で同じ	0.001	0.001
c2-3-tick	C2-3	値	不一致	avg_px.o2: 期待 9990.0 / 出力 9985.0	4dd553eb912efd46	不一致	avg_px.o2: 期待 9990.0 / 出力 9985.0	4dd553eb912efd46	2 回の実行で同じ	0.001	0.001
c2-3-minqty	C2-3	値	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 0.005	77b749e1ee043dc2	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 0.005	77b749e1ee043dc2	2 回の実行で同じ	0.001	0.001
c2-3-round	C2-3	能力	不一致	avg_px.o1: 期待 9990.0 / 出力に無い(KeyError: 'no fill for o1'); filled.o1: 期待 1.0 / 出力 0.0; avg_px.o2: 期待 10011.0 / 出力に無い(KeyError: 'no fill for o2'); filled.o2: 期待 1.0 / 出力 0.0	0ab4b5d21211f9cf	不一致	avg_px.o1: 期待 9990.0 / 出力に無い(KeyError: 'no fill for o1'); filled.o1: 期待 1.0 / 出力 0.0; avg_px.o2: 期待 10011.0 / 出力に無い(KeyError: 'no fill for o2'); filled.o2: 期待 1.0 / 出力 0.0	0ab4b5d21211f9cf	2 回の実行で同じ	0.001	0.001
c2-3-stp	C2-3	値	結果なし	adapter: Basana 1.11: 足にする約定も足も無い(取引所は足で約定を決め、板の写真を受けない)	-	結果なし	adapter: Basana 1.11: 足にする約定も足も無い(取引所は足で約定を決め、板の写真を受けない)	-	結果なし	0.0	0.0
c2-3-jpx-session	C2-3	値	正解と一致		ff822f8ab59b5ce0	正解と一致		ff822f8ab59b5ce0	2 回の実行で同じ	0.001	0.001
c2-3-jpx-limit	C2-3	値	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 100.0	aaca6673ec7aa227	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 100.0	aaca6673ec7aa227	2 回の実行で同じ	0.001	0.001
c2-3-fx-weekend	C2-3	値	正解と一致		5903eebe578e5100	正解と一致		5903eebe578e5100	2 回の実行で同じ	0.001	0.001
c2-4-reject	C2-4	値	結果なし	adapter: Basana 1.11: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	adapter: Basana 1.11: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	0.0	0.0
c2-4-timeout	C2-4	値	結果なし	adapter: Basana 1.11: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	adapter: Basana 1.11: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	0.0	0.0
c2-4-unknown	C2-4	値	結果なし	adapter: Basana 1.11: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	adapter: Basana 1.11: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	0.0	0.0
c2-4-kill	C2-4	値	結果なし	adapter: Basana 1.11: 公開の口に kill が無い	-	結果なし	adapter: Basana 1.11: 公開の口に kill が無い	-	結果なし	0.0	0.0
c2-5-tier0	C2-5	能力	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	0.0	0.0
c2-5-tier1	C2-5	能力	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	0.0	0.0
c2-5-tier2	C2-5	能力	不一致	cum.o1@c1: 期待 0.0 / 出力 2.0; cum.o1@c2: 期待 0.0 / 出力 2.0; cum.o1@c3: 期待 0.0 / 出力 2.0; first_fill_t.o1: 期待 1767571202000000000 / 出力 1767571201000000000	7ed09cac22193dbe	不一致	cum.o1@c1: 期待 0.0 / 出力 2.0; cum.o1@c2: 期待 0.0 / 出力 2.0; cum.o1@c3: 期待 0.0 / 出力 2.0; first_fill_t.o1: 期待 1767571202000000000 / 出力 1767571201000000000	7ed09cac22193dbe	2 回の実行で同じ	0.001	0.001
c2-5-tier3	C2-5	能力	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	0.0	0.0
c2-5-tier4	C2-5	能力	正解と一致		8329d179e22ae62f	正解と一致		8329d179e22ae62f	2 回の実行で同じ	0.001	0.001
c2-5-tier5	C2-5	能力	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	0.0	0.0
c2-5-queue-value	C2-5	値	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	0.0	0.0
c2-5-tier6	C2-5	能力	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	0.0	0.0
c2-6-none	C2-6	能力	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	0.0	0.0
c2-6-discount-at-entry	C2-6	能力	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	0.0	0.0
c2-6-snapshot-cap	C2-6	能力	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	0.0	0.0
c2-6-l3	C2-6	能力	結果なし	adapter: Basana 1.11: 事象 l3_add を渡す口が無い	-	結果なし	adapter: Basana 1.11: 事象 l3_add を渡す口が無い	-	結果なし	0.0	0.0
c2-6-prob	C2-6	能力	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	0.0	0.0
c2-6-prob-power2	C2-6	値	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	0.0	0.0
c2-7-walk	C2-7	値	結果なし	adapter: Basana 1.11: 足にする約定も足も無い(取引所は足で約定を決め、板の写真を受けない)	-	結果なし	adapter: Basana 1.11: 足にする約定も足も無い(取引所は足で約定を決め、板の写真を受けない)	-	結果なし	0.0	0.0
c2-7-walk-exhaust	C2-7	値	結果なし	adapter: Basana 1.11: 足にする約定も足も無い(取引所は足で約定を決め、板の写真を受けない)	-	結果なし	adapter: Basana 1.11: 足にする約定も足も無い(取引所は足で約定を決め、板の写真を受けない)	-	結果なし	0.0	0.0
c2-7-impact-sqrt	C2-7	能力	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	0.0	0.0
c2-7-impact-permanent	C2-7	能力	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	0.0	0.0
c2-8-range	C2-8	値	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	0.0	0.0
c2-8-both-required	C2-8	能力	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	adapter: Basana 1.11: 約定の模型は足での約定(段 2)と流動性の戦略(無限 / 足の出来高の割合と価格の影響)だけで、段 2・4 以外の段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	0.0	0.0
