scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
c2-1-market	C2-1	値	正解と一致		658a2899c3197233	正解と一致		658a2899c3197233	2 回の実行で同じ	0.001	0.0
c2-1-limit	C2-1	値	不一致	status.o1: 期待 filled / 出力 canceled; filled.o1: 期待 1.0 / 出力 0.0; avg_px.o1: 期待 9990.0 / 出力に無い(KeyError: 'no fill for o1'); first_fill_t.o1: 期待 ge 1767571200020000000 / 出力に無い(KeyError: 'no fill for o1')	452404640a45a3ae	不一致	status.o1: 期待 filled / 出力 canceled; filled.o1: 期待 1.0 / 出力 0.0; avg_px.o1: 期待 9990.0 / 出力に無い(KeyError: 'no fill for o1'); first_fill_t.o1: 期待 ge 1767571200020000000 / 出力に無い(KeyError: 'no fill for o1')	452404640a45a3ae	2 回の実行で同じ	0.0	0.0
c2-1-postonly	C2-1	値	結果なし	adapter: PySystemtrade(8958c49c): 公開の口に post_only が無い。注文の口は SimpleOrder(整数の数量・指値)を次の 1 つの市場の値に当てる fill_list_of_simple_orders だけ。試したこと(道具の公開の口を実際に読んだ): systems.accounts.order_simulator.fills_and_orders.fill_list_of_simple_orders(list_of_orders: systems.accounts.order_simulator.simple_orders.ListOfSimpleOrders, fill_datetime: datetime.datetime, market_price: float) -> sysobjects.fills.Fill / systems.accounts.order_simulator.simple_orders.SimpleOrder(quantity: int, limit_price: float = None) -> None	-	結果なし	adapter: PySystemtrade(8958c49c): 公開の口に post_only が無い。注文の口は SimpleOrder(整数の数量・指値)を次の 1 つの市場の値に当てる fill_list_of_simple_orders だけ。試したこと(道具の公開の口を実際に読んだ): systems.accounts.order_simulator.fills_and_orders.fill_list_of_simple_orders(list_of_orders: systems.accounts.order_simulator.simple_orders.ListOfSimpleOrders, fill_datetime: datetime.datetime, market_price: float) -> sysobjects.fills.Fill / systems.accounts.order_simulator.simple_orders.SimpleOrder(quantity: int, limit_price: float = None) -> None	-	結果なし	0.0	0.0
c2-1-ioc	C2-1	値	結果なし	adapter: PySystemtrade(8958c49c): 公開の口に IOC が無い。注文の口は SimpleOrder(整数の数量・指値)を次の 1 つの市場の値に当てる fill_list_of_simple_orders だけ。試したこと(道具の公開の口を実際に読んだ): systems.accounts.order_simulator.fills_and_orders.fill_list_of_simple_orders(list_of_orders: systems.accounts.order_simulator.simple_orders.ListOfSimpleOrders, fill_datetime: datetime.datetime, market_price: float) -> sysobjects.fills.Fill / systems.accounts.order_simulator.simple_orders.SimpleOrder(quantity: int, limit_price: float = None) -> None	-	結果なし	adapter: PySystemtrade(8958c49c): 公開の口に IOC が無い。注文の口は SimpleOrder(整数の数量・指値)を次の 1 つの市場の値に当てる fill_list_of_simple_orders だけ。試したこと(道具の公開の口を実際に読んだ): systems.accounts.order_simulator.fills_and_orders.fill_list_of_simple_orders(list_of_orders: systems.accounts.order_simulator.simple_orders.ListOfSimpleOrders, fill_datetime: datetime.datetime, market_price: float) -> sysobjects.fills.Fill / systems.accounts.order_simulator.simple_orders.SimpleOrder(quantity: int, limit_price: float = None) -> None	-	結果なし	0.0	0.0
c2-1-fok	C2-1	値	結果なし	adapter: PySystemtrade(8958c49c): 公開の口に FOK が無い。注文の口は SimpleOrder(整数の数量・指値)を次の 1 つの市場の値に当てる fill_list_of_simple_orders だけ。試したこと(道具の公開の口を実際に読んだ): systems.accounts.order_simulator.fills_and_orders.fill_list_of_simple_orders(list_of_orders: systems.accounts.order_simulator.simple_orders.ListOfSimpleOrders, fill_datetime: datetime.datetime, market_price: float) -> sysobjects.fills.Fill / systems.accounts.order_simulator.simple_orders.SimpleOrder(quantity: int, limit_price: float = None) -> None	-	結果なし	adapter: PySystemtrade(8958c49c): 公開の口に FOK が無い。注文の口は SimpleOrder(整数の数量・指値)を次の 1 つの市場の値に当てる fill_list_of_simple_orders だけ。試したこと(道具の公開の口を実際に読んだ): systems.accounts.order_simulator.fills_and_orders.fill_list_of_simple_orders(list_of_orders: systems.accounts.order_simulator.simple_orders.ListOfSimpleOrders, fill_datetime: datetime.datetime, market_price: float) -> sysobjects.fills.Fill / systems.accounts.order_simulator.simple_orders.SimpleOrder(quantity: int, limit_price: float = None) -> None	-	結果なし	0.0	0.0
c2-1-stop	C2-1	値	結果なし	adapter: PySystemtrade(8958c49c): 公開の口に stop が無い。注文の口は SimpleOrder(整数の数量・指値)を次の 1 つの市場の値に当てる fill_list_of_simple_orders だけ。試したこと(道具の公開の口を実際に読んだ): systems.accounts.order_simulator.fills_and_orders.fill_list_of_simple_orders(list_of_orders: systems.accounts.order_simulator.simple_orders.ListOfSimpleOrders, fill_datetime: datetime.datetime, market_price: float) -> sysobjects.fills.Fill / systems.accounts.order_simulator.simple_orders.SimpleOrder(quantity: int, limit_price: float = None) -> None	-	結果なし	adapter: PySystemtrade(8958c49c): 公開の口に stop が無い。注文の口は SimpleOrder(整数の数量・指値)を次の 1 つの市場の値に当てる fill_list_of_simple_orders だけ。試したこと(道具の公開の口を実際に読んだ): systems.accounts.order_simulator.fills_and_orders.fill_list_of_simple_orders(list_of_orders: systems.accounts.order_simulator.simple_orders.ListOfSimpleOrders, fill_datetime: datetime.datetime, market_price: float) -> sysobjects.fills.Fill / systems.accounts.order_simulator.simple_orders.SimpleOrder(quantity: int, limit_price: float = None) -> None	-	結果なし	0.0	0.0
c2-1-reduceonly	C2-1	値	結果なし	adapter: PySystemtrade(8958c49c): 公開の口に reduce_only が無い。注文の口は SimpleOrder(整数の数量・指値)を次の 1 つの市場の値に当てる fill_list_of_simple_orders だけ。試したこと(道具の公開の口を実際に読んだ): systems.accounts.order_simulator.fills_and_orders.fill_list_of_simple_orders(list_of_orders: systems.accounts.order_simulator.simple_orders.ListOfSimpleOrders, fill_datetime: datetime.datetime, market_price: float) -> sysobjects.fills.Fill / systems.accounts.order_simulator.simple_orders.SimpleOrder(quantity: int, limit_price: float = None) -> None	-	結果なし	adapter: PySystemtrade(8958c49c): 公開の口に reduce_only が無い。注文の口は SimpleOrder(整数の数量・指値)を次の 1 つの市場の値に当てる fill_list_of_simple_orders だけ。試したこと(道具の公開の口を実際に読んだ): systems.accounts.order_simulator.fills_and_orders.fill_list_of_simple_orders(list_of_orders: systems.accounts.order_simulator.simple_orders.ListOfSimpleOrders, fill_datetime: datetime.datetime, market_price: float) -> sysobjects.fills.Fill / systems.accounts.order_simulator.simple_orders.SimpleOrder(quantity: int, limit_price: float = None) -> None	-	結果なし	0.0	0.0
c2-1-oco	C2-1	値	結果なし	adapter: PySystemtrade(8958c49c): 公開の口に oco が無い。注文の口は SimpleOrder(整数の数量・指値)を次の 1 つの市場の値に当てる fill_list_of_simple_orders だけ。試したこと(道具の公開の口を実際に読んだ): systems.accounts.order_simulator.fills_and_orders.fill_list_of_simple_orders(list_of_orders: systems.accounts.order_simulator.simple_orders.ListOfSimpleOrders, fill_datetime: datetime.datetime, market_price: float) -> sysobjects.fills.Fill / systems.accounts.order_simulator.simple_orders.SimpleOrder(quantity: int, limit_price: float = None) -> None	-	結果なし	adapter: PySystemtrade(8958c49c): 公開の口に oco が無い。注文の口は SimpleOrder(整数の数量・指値)を次の 1 つの市場の値に当てる fill_list_of_simple_orders だけ。試したこと(道具の公開の口を実際に読んだ): systems.accounts.order_simulator.fills_and_orders.fill_list_of_simple_orders(list_of_orders: systems.accounts.order_simulator.simple_orders.ListOfSimpleOrders, fill_datetime: datetime.datetime, market_price: float) -> sysobjects.fills.Fill / systems.accounts.order_simulator.simple_orders.SimpleOrder(quantity: int, limit_price: float = None) -> None	-	結果なし	0.0	0.0
c2-2-cancel	C2-2	値	結果なし	adapter: PySystemtrade(8958c49c): 公開の口に cancel が無い。注文の口は SimpleOrder(整数の数量・指値)を次の 1 つの市場の値に当てる fill_list_of_simple_orders だけ。試したこと(道具の公開の口を実際に読んだ): systems.accounts.order_simulator.fills_and_orders.fill_list_of_simple_orders(list_of_orders: systems.accounts.order_simulator.simple_orders.ListOfSimpleOrders, fill_datetime: datetime.datetime, market_price: float) -> sysobjects.fills.Fill / systems.accounts.order_simulator.simple_orders.SimpleOrder(quantity: int, limit_price: float = None) -> None	-	結果なし	adapter: PySystemtrade(8958c49c): 公開の口に cancel が無い。注文の口は SimpleOrder(整数の数量・指値)を次の 1 つの市場の値に当てる fill_list_of_simple_orders だけ。試したこと(道具の公開の口を実際に読んだ): systems.accounts.order_simulator.fills_and_orders.fill_list_of_simple_orders(list_of_orders: systems.accounts.order_simulator.simple_orders.ListOfSimpleOrders, fill_datetime: datetime.datetime, market_price: float) -> sysobjects.fills.Fill / systems.accounts.order_simulator.simple_orders.SimpleOrder(quantity: int, limit_price: float = None) -> None	-	結果なし	0.0	0.0
c2-2-amend-price	C2-2	値	結果なし	adapter: PySystemtrade(8958c49c): 公開の口に amend が無い。注文の口は SimpleOrder(整数の数量・指値)を次の 1 つの市場の値に当てる fill_list_of_simple_orders だけ。試したこと(道具の公開の口を実際に読んだ): systems.accounts.order_simulator.fills_and_orders.fill_list_of_simple_orders(list_of_orders: systems.accounts.order_simulator.simple_orders.ListOfSimpleOrders, fill_datetime: datetime.datetime, market_price: float) -> sysobjects.fills.Fill / systems.accounts.order_simulator.simple_orders.SimpleOrder(quantity: int, limit_price: float = None) -> None	-	結果なし	adapter: PySystemtrade(8958c49c): 公開の口に amend が無い。注文の口は SimpleOrder(整数の数量・指値)を次の 1 つの市場の値に当てる fill_list_of_simple_orders だけ。試したこと(道具の公開の口を実際に読んだ): systems.accounts.order_simulator.fills_and_orders.fill_list_of_simple_orders(list_of_orders: systems.accounts.order_simulator.simple_orders.ListOfSimpleOrders, fill_datetime: datetime.datetime, market_price: float) -> sysobjects.fills.Fill / systems.accounts.order_simulator.simple_orders.SimpleOrder(quantity: int, limit_price: float = None) -> None	-	結果なし	0.0	0.0
