scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
c2-1-market	C2-1	値	正解と一致		af1807214fb747db	正解と一致		af1807214fb747db	2 回の実行で同じ	1.191	0.413
c2-1-limit	C2-1	値	正解と一致		9ca835d295fdb19d	正解と一致		9ca835d295fdb19d	2 回の実行で同じ	0.141	0.172
c2-1-postonly	C2-1	値	結果なし	adapter: zipline-reloaded 3.1.1: 公開の口に post_only が無い	-	結果なし	adapter: zipline-reloaded 3.1.1: 公開の口に post_only が無い	-	結果なし	0.0	0.0
c2-1-ioc	C2-1	値	結果なし	adapter: zipline-reloaded 3.1.1: 公開の口に IOC が無い	-	結果なし	adapter: zipline-reloaded 3.1.1: 公開の口に IOC が無い	-	結果なし	0.0	0.0
c2-1-fok	C2-1	値	結果なし	adapter: zipline-reloaded 3.1.1: 公開の口に FOK が無い	-	結果なし	adapter: zipline-reloaded 3.1.1: 公開の口に FOK が無い	-	結果なし	0.0	0.0
c2-1-stop	C2-1	値	正解と一致		dd7706c75b6d156b	正解と一致		dd7706c75b6d156b	2 回の実行で同じ	0.152	0.143
c2-1-reduceonly	C2-1	値	結果なし	adapter: zipline-reloaded 3.1.1: 公開の口に reduce_only が無い	-	結果なし	adapter: zipline-reloaded 3.1.1: 公開の口に reduce_only が無い	-	結果なし	0.0	0.0
c2-1-oco	C2-1	値	結果なし	adapter: zipline-reloaded 3.1.1: 公開の口に oco が無い	-	結果なし	adapter: zipline-reloaded 3.1.1: 公開の口に oco が無い	-	結果なし	0.0	0.0
c2-2-cancel	C2-2	値	正解と一致		ebb0ce3baeb3314f	正解と一致		ebb0ce3baeb3314f	2 回の実行で同じ	0.134	0.135
c2-2-amend-price	C2-2	値	結果なし	adapter: zipline-reloaded 3.1.1: 公開の口に amend が無い	-	結果なし	adapter: zipline-reloaded 3.1.1: 公開の口に amend が無い	-	結果なし	0.0	0.0
c2-2-amend-qty	C2-2	能力	結果なし	adapter: zipline-reloaded 3.1.1: 公開の口に amend が無い	-	結果なし	adapter: zipline-reloaded 3.1.1: 公開の口に amend が無い	-	結果なし	0.0	0.0
c2-2-partial	C2-2	能力	正解と一致		233b3a6dafd1cf07	正解と一致		233b3a6dafd1cf07	2 回の実行で同じ	0.149	0.143
c2-3-tick	C2-3	値	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 1.0; avg_px.o2: 期待 9990.0 / 出力 9985.0	036daeee53c0cf6c	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 1.0; avg_px.o2: 期待 9990.0 / 出力 9985.0	036daeee53c0cf6c	2 回の実行で同じ	0.144	0.136
c2-3-minqty	C2-3	値	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 0.005	34f9711393b2ede1	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 0.005	34f9711393b2ede1	2 回の実行で同じ	0.143	0.138
c2-3-round	C2-3	能力	不一致	avg_px.o1: 期待 9990.0 / 出力 9985.0; avg_px.o2: 期待 10011.0 / 出力 10015.0	476bb43816ee09a1	不一致	avg_px.o1: 期待 9990.0 / 出力 9985.0; avg_px.o2: 期待 10011.0 / 出力 10015.0	476bb43816ee09a1	2 回の実行で同じ	0.151	0.13
c2-3-stp	C2-3	値	結果なし	adapter: zipline-reloaded 3.1.1: 足にする約定も足も無い(zipline は足の bundle だけを取る)	-	結果なし	adapter: zipline-reloaded 3.1.1: 足にする約定も足も無い(zipline は足の bundle だけを取る)	-	結果なし	0.0	0.0
c2-3-jpx-session	C2-3	値	正解と一致		3643a32d2e28dbd7	正解と一致		3643a32d2e28dbd7	2 回の実行で同じ	0.148	0.147
c2-3-jpx-limit	C2-3	値	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 100.0	ab809511d5daffb4	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 100.0	ab809511d5daffb4	2 回の実行で同じ	0.145	0.14
c2-3-fx-weekend	C2-3	値	正解と一致		b2094c488506c24b	正解と一致		b2094c488506c24b	2 回の実行で同じ	0.139	0.13
c2-4-reject	C2-4	値	結果なし	adapter: zipline-reloaded 3.1.1: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	adapter: zipline-reloaded 3.1.1: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	0.0	0.0
c2-4-timeout	C2-4	値	結果なし	adapter: zipline-reloaded 3.1.1: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	adapter: zipline-reloaded 3.1.1: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	0.0	0.0
c2-4-unknown	C2-4	値	結果なし	adapter: zipline-reloaded 3.1.1: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	adapter: zipline-reloaded 3.1.1: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	0.0	0.0
c2-4-kill	C2-4	値	結果なし	adapter: zipline-reloaded 3.1.1: 公開の口に kill が無い	-	結果なし	adapter: zipline-reloaded 3.1.1: 公開の口に kill が無い	-	結果なし	0.0	0.0
c2-5-tier0	C2-5	能力	結果なし	adapter: zipline-reloaded 3.1.1: 段 0 / 取消の扱い none の約定の模型が無い(slippage は価格と数量を足ごとに決める模型)	-	結果なし	adapter: zipline-reloaded 3.1.1: 段 0 / 取消の扱い none の約定の模型が無い(slippage は価格と数量を足ごとに決める模型)	-	結果なし	0.0	0.0
c2-5-tier1	C2-5	能力	結果なし	adapter: zipline-reloaded 3.1.1: 段 1 / 取消の扱い none の約定の模型が無い(slippage は価格と数量を足ごとに決める模型)	-	結果なし	adapter: zipline-reloaded 3.1.1: 段 1 / 取消の扱い none の約定の模型が無い(slippage は価格と数量を足ごとに決める模型)	-	結果なし	0.0	0.0
c2-5-tier2	C2-5	能力	正解と一致		93de6eb1b91649f2	正解と一致		93de6eb1b91649f2	2 回の実行で同じ	0.145	0.128
