row	viewpoint	correct	same	total
new_impl	C2-1	8	8	8
new_impl	C2-2	4	4	4
new_impl	C2-3	7	7	7
new_impl	C2-4	4	4	4
new_impl	C2-5	8	8	8
new_impl	C2-6	6	6	6
new_impl	C2-7	4	4	4
new_impl	C2-8	2	2	2
new_impl	C2-9	5	5	5
new_impl	C2-10	8	8	8
new_impl	C2-11	8	8	8
new_impl	C2-12	2	2	2
new_impl	計	66	66	66
current_impl	C2-1	1	2	8
current_impl	C2-2	1	1	4
current_impl	C2-3	0	7	7
current_impl	C2-4	0	0	4
current_impl	C2-5	0	0	8
current_impl	C2-6	0	0	6
current_impl	C2-7	0	2	4
current_impl	C2-8	0	0	2
current_impl	C2-9	0	0	5
current_impl	C2-10	1	4	8
current_impl	C2-11	1	3	8
current_impl	C2-12	0	0	2
current_impl	計	4	19	66
survey_best	C2-1	6	7	8
survey_best	C2-2	4	4	4
survey_best	C2-3	3	7	7
survey_best	C2-4	0	0	4
survey_best	C2-5	5	6	8
survey_best	C2-6	6	6	6
survey_best	C2-7	4	4	4
survey_best	C2-8	0	0	2
survey_best	C2-9	4	4	5
survey_best	C2-10	3	5	8
survey_best	C2-11	2	4	8
survey_best	C2-12	1	2	2
survey_best	計	38	49	66
mutant	C2-1	8	8	8
mutant	C2-2	4	4	4
mutant	C2-3	7	7	7
mutant	C2-4	4	4	4
mutant	C2-5	8	8	8
mutant	C2-6	6	6	6
mutant	C2-7	4	4	4
mutant	C2-8	2	2	2
mutant	C2-9	5	5	5
mutant	C2-10	4	8	8
mutant	C2-11	7	8	8
mutant	C2-12	2	2	2
mutant	計	61	66	66
