scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
i4-1-ref-taker	I4-1	値	結果なし	adapter: Hikyuu System(5a1dedbd)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	adapter: Hikyuu System(5a1dedbd)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	0.0	0.0
i4-1-ref-maker	I4-1	値	結果なし	adapter: Hikyuu System(5a1dedbd)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	adapter: Hikyuu System(5a1dedbd)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	0.0	0.0
i4-2-grid	I4-2	値	結果なし	場合 0: adapter: Hikyuu System(5a1dedbd)(再現): allow_short: 再現していない: 空売りの経路(_sellShort・_buyShort、hikyuu_cpp/hikyuu/trade_sys/system/System.cpp(5a1dedbd) 1098-1250 行)は全部は読んでいない / slippage_pct: 再現していない: 滑りの部品(SP)は読んでいない(約定値は _getRealBuyPrice / _getRealSellPrice を通る: 835・979 行) / spread_pct: 再現していない: 滑りの部品(SP)は読んでいない / 再現していない: 資産の曲線(getFundsCurve)は読んでいない	-	結果なし	場合 0: adapter: Hikyuu System(5a1dedbd)(再現): allow_short: 再現していない: 空売りの経路(_sellShort・_buyShort、hikyuu_cpp/hikyuu/trade_sys/system/System.cpp(5a1dedbd) 1098-1250 行)は全部は読んでいない / slippage_pct: 再現していない: 滑りの部品(SP)は読んでいない(約定値は _getRealBuyPrice / _getRealSellPrice を通る: 835・979 行) / spread_pct: 再現していない: 滑りの部品(SP)は読んでいない / 再現していない: 資産の曲線(getFundsCurve)は読んでいない	-	結果なし	0.0	0.0
i4-3-e2e-taker	I4-3	値	結果なし	adapter: Hikyuu System(5a1dedbd)(再現): swap_daily_pct: 持ち越しの口は読んだ範囲に無い(TradeManager.cpp の現金は売買・入出金・借入で動く) / allow_short: 再現していない: 空売りの経路(_sellShort・_buyShort、hikyuu_cpp/hikyuu/trade_sys/system/System.cpp(5a1dedbd) 1098-1250 行)は全部は読んでいない / slippage_pct: 再現していない: 滑りの部品(SP)は読んでいない(約定値は _getRealBuyPrice / _getRealSellPrice を通る: 835・979 行) / spread_pct: 再現していない: 滑りの部品(SP)は読んでいない / 再現していない: 資産の曲線(getFundsCurve)は読んでいない / 再現していない: 成績の集計(Performance)は読んでいない	-	結果なし	adapter: Hikyuu System(5a1dedbd)(再現): swap_daily_pct: 持ち越しの口は読んだ範囲に無い(TradeManager.cpp の現金は売買・入出金・借入で動く) / allow_short: 再現していない: 空売りの経路(_sellShort・_buyShort、hikyuu_cpp/hikyuu/trade_sys/system/System.cpp(5a1dedbd) 1098-1250 行)は全部は読んでいない / slippage_pct: 再現していない: 滑りの部品(SP)は読んでいない(約定値は _getRealBuyPrice / _getRealSellPrice を通る: 835・979 行) / spread_pct: 再現していない: 滑りの部品(SP)は読んでいない / 再現していない: 資産の曲線(getFundsCurve)は読んでいない / 再現していない: 成績の集計(Performance)は読んでいない	-	結果なし	0.0	0.0
i4-3-e2e-maker	I4-3	値	結果なし	adapter: Hikyuu System(5a1dedbd)(再現): execution: 指値の注文が無い(System は合図・逆指値・目標で翌足の始値に売買する要求だけ: hikyuu_cpp/hikyuu/trade_sys/system/System.cpp(5a1dedbd) 689-733・919-962 行) / maker_tp_pct: 指値の注文が無い(hikyuu_cpp/hikyuu/trade_sys/system/System.cpp(5a1dedbd) 919-962 行) / exit_execution: 指値の注文が無い(hikyuu_cpp/hikyuu/trade_sys/system/System.cpp(5a1dedbd) 919-962 行) / allow_short: 再現していない: 空売りの経路(_sellShort・_buyShort、hikyuu_cpp/hikyuu/trade_sys/system/System.cpp(5a1dedbd) 1098-1250 行)は全部は読んでいない / slippage_pct: 再現していない: 滑りの部品(SP)は読んでいない(約定値は _getRealBuyPrice / _getRealSellPrice を通る: 835・979 行) / spread_pct: 再現していない: 滑り	-	結果なし	adapter: Hikyuu System(5a1dedbd)(再現): execution: 指値の注文が無い(System は合図・逆指値・目標で翌足の始値に売買する要求だけ: hikyuu_cpp/hikyuu/trade_sys/system/System.cpp(5a1dedbd) 689-733・919-962 行) / maker_tp_pct: 指値の注文が無い(hikyuu_cpp/hikyuu/trade_sys/system/System.cpp(5a1dedbd) 919-962 行) / exit_execution: 指値の注文が無い(hikyuu_cpp/hikyuu/trade_sys/system/System.cpp(5a1dedbd) 919-962 行) / allow_short: 再現していない: 空売りの経路(_sellShort・_buyShort、hikyuu_cpp/hikyuu/trade_sys/system/System.cpp(5a1dedbd) 1098-1250 行)は全部は読んでいない / slippage_pct: 再現していない: 滑りの部品(SP)は読んでいない(約定値は _getRealBuyPrice / _getRealSellPrice を通る: 835・979 行) / spread_pct: 再現していない: 滑り	-	結果なし	0.0	0.0
i4-4-plain	I4-4	値	正解と一致		14293724f86c	正解と一致		14293724f86c	2 回の実行で同じ	0.0	0.0
i4-4-fee	I4-4	値	正解と一致		bedd34db477e	正解と一致		bedd34db477e	2 回の実行で同じ	0.0	0.0
i4-5-fills	I4-5	値	結果なし	adapter: Hikyuu System(5a1dedbd)(再現): 再現は System の遅延の売買の規則だけ	-	結果なし	adapter: Hikyuu System(5a1dedbd)(再現): 再現は System の遅延の売買の規則だけ	-	結果なし	0.004	0.001
i4-5-outputs	I4-5	能力	結果なし	adapter: Hikyuu System(5a1dedbd)(再現): 再現は System の遅延の売買の規則だけ	-	結果なし	adapter: Hikyuu System(5a1dedbd)(再現): 再現は System の遅延の売買の規則だけ	-	結果なし	0.002	0.001
i4-6-label	I4-6	値	結果なし	adapter: Hikyuu System(5a1dedbd)(再現): 再現は System の遅延の売買の規則だけ	-	結果なし	adapter: Hikyuu System(5a1dedbd)(再現): 再現は System の遅延の売買の規則だけ	-	結果なし	0.001	0.001
