scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
i4-1-ref-taker	I4-1	値	結果なし	adapter: ziplime 1.19.16: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	adapter: ziplime 1.19.16: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	0.0	0.0
i4-1-ref-maker	I4-1	値	結果なし	adapter: ziplime 1.19.16: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	adapter: ziplime 1.19.16: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	0.0	0.0
i4-2-grid	I4-2	値	結果なし	場合 0: adapter: ziplime 1.19.16: maker_fee_pct: この adapter は成行だけを送る(ziplime.finance.execution の LimitOrder / StopOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / 決済ごとの損益の口を探したが無い / 足ごとの資産の推移をこの adapter は取り出していない	-	結果なし	場合 0: adapter: ziplime 1.19.16: maker_fee_pct: この adapter は成行だけを送る(ziplime.finance.execution の LimitOrder / StopOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / 決済ごとの損益の口を探したが無い / 足ごとの資産の推移をこの adapter は取り出していない	-	結果なし	0.0	0.0
i4-3-e2e-taker	I4-3	値	結果なし	adapter: ziplime 1.19.16: stop_loss_pct: この adapter は成行だけを送る(ziplime.finance.execution の LimitOrder / StopOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / swap_daily_pct: 持ち越しの口を探したが無い(SimulationExchange の引数は slippage・commission・cash) / maker_fee_pct: この adapter は成行だけを送る(ziplime.finance.execution の LimitOrder / StopOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / 決済ごとの損益の口を探したが無い / 足ごとの資産の推移をこの adapter は取り出していない / この adapter は成行だけを送る(ziplime.finance.execution の LimitOrder / StopOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / 12 の指標を 1 つずつ出す口を探したが無い(結果は周期ごとの成績の表)	-	結果なし	adapter: ziplime 1.19.16: stop_loss_pct: この adapter は成行だけを送る(ziplime.finance.execution の LimitOrder / StopOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / swap_daily_pct: 持ち越しの口を探したが無い(SimulationExchange の引数は slippage・commission・cash) / maker_fee_pct: この adapter は成行だけを送る(ziplime.finance.execution の LimitOrder / StopOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / 決済ごとの損益の口を探したが無い / 足ごとの資産の推移をこの adapter は取り出していない / この adapter は成行だけを送る(ziplime.finance.execution の LimitOrder / StopOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / 12 の指標を 1 つずつ出す口を探したが無い(結果は周期ごとの成績の表)	-	結果なし	0.0	0.0
i4-3-e2e-maker	I4-3	値	結果なし	adapter: ziplime 1.19.16: execution: この adapter は成行だけを送る(ziplime.finance.execution の LimitOrder / StopOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / stop_loss_pct: この adapter は成行だけを送る(ziplime.finance.execution の LimitOrder / StopOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / maker_tp_pct: この adapter は成行だけを送る(ziplime.finance.execution の LimitOrder / StopOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / exit_execution: この adapter は成行だけを送る(ziplime.finance.execution の LimitOrder / StopOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / maker_fee_pct: この adapter は成行だけを送る(ziplime.finance.execution の LimitOrder / StopOrder は在るが、決済の水	-	結果なし	adapter: ziplime 1.19.16: execution: この adapter は成行だけを送る(ziplime.finance.execution の LimitOrder / StopOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / stop_loss_pct: この adapter は成行だけを送る(ziplime.finance.execution の LimitOrder / StopOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / maker_tp_pct: この adapter は成行だけを送る(ziplime.finance.execution の LimitOrder / StopOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / exit_execution: この adapter は成行だけを送る(ziplime.finance.execution の LimitOrder / StopOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / maker_fee_pct: この adapter は成行だけを送る(ziplime.finance.execution の LimitOrder / StopOrder は在るが、決済の水	-	結果なし	0.0	0.0
i4-4-plain	I4-4	値	結果なし	adapter: ziplime 1.19.16: 決済ごとの損益の口を探したが無い	-	結果なし	adapter: ziplime 1.19.16: 決済ごとの損益の口を探したが無い	-	結果なし	0.0	0.0
i4-4-fee	I4-4	値	結果なし	adapter: ziplime 1.19.16: 決済ごとの損益の口を探したが無い	-	結果なし	adapter: ziplime 1.19.16: 決済ごとの損益の口を探したが無い	-	結果なし	0.0	0.0
i4-5-fills	I4-5	値	結果なし	adapter: ziplime 1.19.16: 入力は DataSource の足の表で、気配の買い ask・売り bid、板、目的つきの書き出し・ダッシュボードの口を探したが無い	-	結果なし	adapter: ziplime 1.19.16: 入力は DataSource の足の表で、気配の買い ask・売り bid、板、目的つきの書き出し・ダッシュボードの口を探したが無い	-	結果なし	0.001	0.002
i4-5-outputs	I4-5	能力	結果なし	adapter: ziplime 1.19.16: 入力は DataSource の足の表で、気配の買い ask・売り bid、板、目的つきの書き出し・ダッシュボードの口を探したが無い	-	結果なし	adapter: ziplime 1.19.16: 入力は DataSource の足の表で、気配の買い ask・売り bid、板、目的つきの書き出し・ダッシュボードの口を探したが無い	-	結果なし	0.001	0.001
i4-6-label	I4-6	値	結果なし	adapter: ziplime 1.19.16: 入力は DataSource の足の表で、気配の買い ask・売り bid、板、目的つきの書き出し・ダッシュボードの口を探したが無い	-	結果なし	adapter: ziplime 1.19.16: 入力は DataSource の足の表で、気配の買い ask・売り bid、板、目的つきの書き出し・ダッシュボードの口を探したが無い	-	結果なし	0.001	0.001
