scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
i4-1-ref-taker	I4-1	値	結果なし	adapter: zvt(8509990e)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	adapter: zvt(8509990e)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	0.0	0.0
i4-1-ref-maker	I4-1	値	結果なし	adapter: zvt(8509990e)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	adapter: zvt(8509990e)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	0.0	0.0
i4-2-grid	I4-2	値	結果なし	場合 0: adapter: zvt(8509990e)(再現): 足ごとの資産の系列は読んだ範囲(sim_account.py)に無い(on_trading_close は日足の終値で建玉を評価する: 235-300 行)	-	結果なし	場合 0: adapter: zvt(8509990e)(再現): 足ごとの資産の系列は読んだ範囲(sim_account.py)に無い(on_trading_close は日足の終値で建玉を評価する: 235-300 行)	-	結果なし	0.0	0.0
i4-3-e2e-taker	I4-3	値	結果なし	adapter: zvt(8509990e)(再現): stop_loss_pct: 指値・逆指値の注文の型が無い(注文は long / short / close_long / close_short だけ: src/zvt/trader/sim_account.py(8509990e) 514-540 行) / swap_daily_pct: 持ち越しの口が無い(src/zvt/trader/sim_account.py(8509990e) の現金は約定のときだけ動く: 353-408 行) / 足ごとの資産の系列は読んだ範囲(sim_account.py)に無い(on_trading_close は日足の終値で建玉を評価する: 235-300 行) / 12 の指標を出す口は読んだ範囲に無い	-	結果なし	adapter: zvt(8509990e)(再現): stop_loss_pct: 指値・逆指値の注文の型が無い(注文は long / short / close_long / close_short だけ: src/zvt/trader/sim_account.py(8509990e) 514-540 行) / swap_daily_pct: 持ち越しの口が無い(src/zvt/trader/sim_account.py(8509990e) の現金は約定のときだけ動く: 353-408 行) / 足ごとの資産の系列は読んだ範囲(sim_account.py)に無い(on_trading_close は日足の終値で建玉を評価する: 235-300 行) / 12 の指標を出す口は読んだ範囲に無い	-	結果なし	0.0	0.0
i4-3-e2e-maker	I4-3	値	結果なし	adapter: zvt(8509990e)(再現): execution: 指値・逆指値の注文の型が無い(注文は long / short / close_long / close_short だけ: src/zvt/trader/sim_account.py(8509990e) 514-540 行) / stop_loss_pct: 指値・逆指値の注文の型が無い(注文は long / short / close_long / close_short だけ: src/zvt/trader/sim_account.py(8509990e) 514-540 行) / maker_tp_pct: 指値・逆指値の注文の型が無い(注文は long / short / close_long / close_short だけ: src/zvt/trader/sim_account.py(8509990e) 514-540 行) / exit_execution: 指値・逆指値の注文の型が無い(注文は long / short / close_long / close_short だけ: src/zvt/trader/sim_account.py(8509990e) 514-540 行) / 手数料の率は 1 つだけで、maker と taker に別の率を置く口が無い / 足ごとの資産の系列は読んだ範囲(sim	-	結果なし	adapter: zvt(8509990e)(再現): execution: 指値・逆指値の注文の型が無い(注文は long / short / close_long / close_short だけ: src/zvt/trader/sim_account.py(8509990e) 514-540 行) / stop_loss_pct: 指値・逆指値の注文の型が無い(注文は long / short / close_long / close_short だけ: src/zvt/trader/sim_account.py(8509990e) 514-540 行) / maker_tp_pct: 指値・逆指値の注文の型が無い(注文は long / short / close_long / close_short だけ: src/zvt/trader/sim_account.py(8509990e) 514-540 行) / exit_execution: 指値・逆指値の注文の型が無い(注文は long / short / close_long / close_short だけ: src/zvt/trader/sim_account.py(8509990e) 514-540 行) / 手数料の率は 1 つだけで、maker と taker に別の率を置く口が無い / 足ごとの資産の系列は読んだ範囲(sim	-	結果なし	0.0	0.0
i4-4-plain	I4-4	値	不一致	fills[0].bar = 1(正解 2)	03bbe0ffc7c1	不一致	fills[0].bar = 1(正解 2)	03bbe0ffc7c1	2 回の実行で同じ	0.0	0.0
i4-4-fee	I4-4	値	不一致	fills[0].bar = 1(正解 2)	08cbe43575b2	不一致	fills[0].bar = 1(正解 2)	08cbe43575b2	2 回の実行で同じ	0.0	0.0
i4-5-fills	I4-5	値	結果なし	adapter: zvt(8509990e)(再現): 再現は模擬の口座の規則だけ(道具は足を自前のデータベースから読む: get_kdata 176-185 行)	-	結果なし	adapter: zvt(8509990e)(再現): 再現は模擬の口座の規則だけ(道具は足を自前のデータベースから読む: get_kdata 176-185 行)	-	結果なし	0.004	0.004
i4-5-outputs	I4-5	能力	結果なし	adapter: zvt(8509990e)(再現): 再現は模擬の口座の規則だけ(道具は足を自前のデータベースから読む: get_kdata 176-185 行)	-	結果なし	adapter: zvt(8509990e)(再現): 再現は模擬の口座の規則だけ(道具は足を自前のデータベースから読む: get_kdata 176-185 行)	-	結果なし	0.003	0.005
i4-6-label	I4-6	値	結果なし	adapter: zvt(8509990e)(再現): 再現は模擬の口座の規則だけ(道具は足を自前のデータベースから読む: get_kdata 176-185 行)	-	結果なし	adapter: zvt(8509990e)(再現): 再現は模擬の口座の規則だけ(道具は足を自前のデータベースから読む: get_kdata 176-185 行)	-	結果なし	0.003	0.001
i4-6-signal-refused	I4-6	能力	結果なし	adapter: zvt(8509990e)(再現): 再現は模擬の口座の規則だけ(道具は足を自前のデータベースから読む: get_kdata 176-185 行)	-	結果なし	adapter: zvt(8509990e)(再現): 再現は模擬の口座の規則だけ(道具は足を自前のデータベースから読む: get_kdata 176-185 行)	-	結果なし	0.003	0.001
i4-6-research-refused	I4-6	能力	結果なし	adapter: zvt(8509990e)(再現): 再現は模擬の口座の規則だけ(道具は足を自前のデータベースから読む: get_kdata 176-185 行)	-	結果なし	adapter: zvt(8509990e)(再現): 再現は模擬の口座の規則だけ(道具は足を自前のデータベースから読む: get_kdata 176-185 行)	-	結果なし	0.003	0.001
i4-8-next-open	I4-8	値	不一致	fills: 3 件(正解 2 件): 観測 [(1, 'OPEN_LONG', 101.0), (4, 'CLOSE_LONG', 126.0), (9, 'OPEN_LONG', 102.0)]	e43d99713fb3	不一致	fills: 3 件(正解 2 件): 観測 [(1, 'OPEN_LONG', 101.0), (4, 'CLOSE_LONG', 126.0), (9, 'OPEN_LONG', 102.0)]	e43d99713fb3	2 回の実行で同じ	0.0	0.0
i4-8-short-close	I4-8	値	不一致	fills[0].bar = 2(正解 3)	30e1f38319eb	不一致	fills[0].bar = 2(正解 3)	30e1f38319eb	2 回の実行で同じ	0.0	0.0
i4-8-no-short	I4-8	値	不一致	fills[0].bar = 2(正解 3)	a924da1a6f84	不一致	fills[0].bar = 2(正解 3)	a924da1a6f84	2 回の実行で同じ	0.0	0.0
