scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
i4-1-ref-taker	I4-1	値	結果なし	adapter: WonderTrader CtaMocker(08b230dd)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	adapter: WonderTrader CtaMocker(08b230dd)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	0.0	0.0
i4-1-ref-maker	I4-1	値	結果なし	adapter: WonderTrader CtaMocker(08b230dd)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	adapter: WonderTrader CtaMocker(08b230dd)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	0.0	0.0
i4-2-grid	I4-2	値	結果なし	場合 0: adapter: WonderTrader CtaMocker(08b230dd)(再現): 再現していない: 足ごとの資産(動的損益の記録)は読んでいない	-	結果なし	場合 0: adapter: WonderTrader CtaMocker(08b230dd)(再現): 再現していない: 足ごとの資産(動的損益の記録)は読んでいない	-	結果なし	0.0	0.0
i4-3-e2e-taker	I4-3	値	結果なし	adapter: WonderTrader CtaMocker(08b230dd)(再現): swap_daily_pct: 持ち越しの口は読んだ範囲に無い(WtBtCore/CtaMocker.cpp(08b230dd) の費用は手数料と滑りだけ) / 再現していない: 足ごとの資産(動的損益の記録)は読んでいない / 12 の指標を出す口は読んだ範囲に無い	-	結果なし	adapter: WonderTrader CtaMocker(08b230dd)(再現): swap_daily_pct: 持ち越しの口は読んだ範囲に無い(WtBtCore/CtaMocker.cpp(08b230dd) の費用は手数料と滑りだけ) / 再現していない: 足ごとの資産(動的損益の記録)は読んでいない / 12 の指標を出す口は読んだ範囲に無い	-	結果なし	0.0	0.0
i4-3-e2e-maker	I4-3	値	結果なし	adapter: WonderTrader CtaMocker(08b230dd)(再現): 手数料の率は 1 つだけで、maker と taker に別の率を置く口が無い / 再現していない: 足ごとの資産(動的損益の記録)は読んでいない / 12 の指標を出す口は読んだ範囲に無い	-	結果なし	adapter: WonderTrader CtaMocker(08b230dd)(再現): 手数料の率は 1 つだけで、maker と taker に別の率を置く口が無い / 再現していない: 足ごとの資産(動的損益の記録)は読んでいない / 12 の指標を出す口は読んだ範囲に無い	-	結果なし	0.0	0.0
i4-4-plain	I4-4	値	不一致	pnls[0] = 178.21782178217822(正解 180.0)	6bb448b3e377	不一致	pnls[0] = 178.21782178217822(正解 180.0)	6bb448b3e377	2 回の実行で同じ	0.0	0.0
i4-4-fee	I4-4	値	不一致	pnls[0] = 172.09782178217822(正解 173.82)	537aee83dc5d	不一致	pnls[0] = 172.09782178217822(正解 173.82)	537aee83dc5d	2 回の実行で同じ	0.0	0.0
i4-5-fills	I4-5	値	結果なし	adapter: WonderTrader CtaMocker(08b230dd)(再現): 再現は CTA の模擬の約定の規則だけ	-	結果なし	adapter: WonderTrader CtaMocker(08b230dd)(再現): 再現は CTA の模擬の約定の規則だけ	-	結果なし	0.014	0.001
i4-5-outputs	I4-5	能力	結果なし	adapter: WonderTrader CtaMocker(08b230dd)(再現): 再現は CTA の模擬の約定の規則だけ	-	結果なし	adapter: WonderTrader CtaMocker(08b230dd)(再現): 再現は CTA の模擬の約定の規則だけ	-	結果なし	0.002	0.001
i4-6-label	I4-6	値	結果なし	adapter: WonderTrader CtaMocker(08b230dd)(再現): 再現は CTA の模擬の約定の規則だけ	-	結果なし	adapter: WonderTrader CtaMocker(08b230dd)(再現): 再現は CTA の模擬の約定の規則だけ	-	結果なし	0.001	0.001
i4-6-signal-refused	I4-6	能力	結果なし	adapter: WonderTrader CtaMocker(08b230dd)(再現): 再現は CTA の模擬の約定の規則だけ	-	結果なし	adapter: WonderTrader CtaMocker(08b230dd)(再現): 再現は CTA の模擬の約定の規則だけ	-	結果なし	0.001	0.001
