scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
i4-1-ref-taker	I4-1	値	結果なし	adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	0.0	0.0
i4-1-ref-maker	I4-1	値	結果なし	adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	0.0	0.0
i4-2-grid-all	I4-2	値	結果なし	場合 0: adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): execution: 指値・逆指値の注文の口を探したが無い(注文は enter_long / enter_short / close_position の 3 つだけ: backtest_engine.py 74・92・110 行) / stop_loss_pct: 指値・逆指値の注文の口を探したが無い(注文は enter_long / enter_short / close_position の 3 つだけ: backtest_engine.py 74・92・110 行) / take_profit_pct: 指値・逆指値の注文の口を探したが無い(注文は enter_long / enter_short / close_position の 3 つだけ: backtest_engine.py 74・92・110 行) / maker_fee_pct: 手数料・スプレッド・滑りの口を探したが無い(backtest_engine.py の enter_long / enter_short / close_position は次の行の始値そのもので、費用の引数も属性も無い) / slippage_pct: 手数料・スプレッド・滑りの口を探したが無い(backt	-	結果なし	場合 0: adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): execution: 指値・逆指値の注文の口を探したが無い(注文は enter_long / enter_short / close_position の 3 つだけ: backtest_engine.py 74・92・110 行) / stop_loss_pct: 指値・逆指値の注文の口を探したが無い(注文は enter_long / enter_short / close_position の 3 つだけ: backtest_engine.py 74・92・110 行) / take_profit_pct: 指値・逆指値の注文の口を探したが無い(注文は enter_long / enter_short / close_position の 3 つだけ: backtest_engine.py 74・92・110 行) / maker_fee_pct: 手数料・スプレッド・滑りの口を探したが無い(backtest_engine.py の enter_long / enter_short / close_position は次の行の始値そのもので、費用の引数も属性も無い) / slippage_pct: 手数料・スプレッド・滑りの口を探したが無い(backt	-	結果なし	0.0	0.0
i4-2-grid	I4-2	値	結果なし	場合 0: adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): slippage_pct: 手数料・スプレッド・滑りの口を探したが無い(backtest_engine.py の enter_long / enter_short / close_position は次の行の始値そのもので、費用の引数も属性も無い) / spread_pct: 手数料・スプレッド・滑りの口を探したが無い(backtest_engine.py の enter_long / enter_short / close_position は次の行の始値そのもので、費用の引数も属性も無い) / 資産の推移を出す口を探したが無い(print_wealth は印字だけ: 69-72 行) / 足 0 の合図: 道具は最初の行を落とす(add_log_returns の dropna: 25-28 行)	-	結果なし	場合 0: adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): slippage_pct: 手数料・スプレッド・滑りの口を探したが無い(backtest_engine.py の enter_long / enter_short / close_position は次の行の始値そのもので、費用の引数も属性も無い) / spread_pct: 手数料・スプレッド・滑りの口を探したが無い(backtest_engine.py の enter_long / enter_short / close_position は次の行の始値そのもので、費用の引数も属性も無い) / 資産の推移を出す口を探したが無い(print_wealth は印字だけ: 69-72 行) / 足 0 の合図: 道具は最初の行を落とす(add_log_returns の dropna: 25-28 行)	-	結果なし	0.0	0.0
i4-2-grid-stop	I4-2	値	結果なし	場合 0: adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): stop_loss_pct: 指値・逆指値の注文の口を探したが無い(注文は enter_long / enter_short / close_position の 3 つだけ: backtest_engine.py 74・92・110 行) / 資産の推移を出す口を探したが無い(print_wealth は印字だけ: 69-72 行)	-	結果なし	場合 0: adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): stop_loss_pct: 指値・逆指値の注文の口を探したが無い(注文は enter_long / enter_short / close_position の 3 つだけ: backtest_engine.py 74・92・110 行) / 資産の推移を出す口を探したが無い(print_wealth は印字だけ: 69-72 行)	-	結果なし	0.0	0.0
i4-2-grid-tp	I4-2	値	結果なし	場合 0: adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): take_profit_pct: 指値・逆指値の注文の口を探したが無い(注文は enter_long / enter_short / close_position の 3 つだけ: backtest_engine.py 74・92・110 行) / 資産の推移を出す口を探したが無い(print_wealth は印字だけ: 69-72 行)	-	結果なし	場合 0: adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): take_profit_pct: 指値・逆指値の注文の口を探したが無い(注文は enter_long / enter_short / close_position の 3 つだけ: backtest_engine.py 74・92・110 行) / 資産の推移を出す口を探したが無い(print_wealth は印字だけ: 69-72 行)	-	結果なし	0.0	0.0
i4-2-grid-maker	I4-2	値	結果なし	場合 0: adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): execution: 指値・逆指値の注文の口を探したが無い(注文は enter_long / enter_short / close_position の 3 つだけ: backtest_engine.py 74・92・110 行) / 資産の推移を出す口を探したが無い(print_wealth は印字だけ: 69-72 行)	-	結果なし	場合 0: adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): execution: 指値・逆指値の注文の口を探したが無い(注文は enter_long / enter_short / close_position の 3 つだけ: backtest_engine.py 74・92・110 行) / 資産の推移を出す口を探したが無い(print_wealth は印字だけ: 69-72 行)	-	結果なし	0.0	0.0
i4-2-grid-mtp	I4-2	値	結果なし	場合 0: adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): maker_tp_pct: 指値・逆指値の注文の口を探したが無い(注文は enter_long / enter_short / close_position の 3 つだけ: backtest_engine.py 74・92・110 行) / exit_execution: 指値・逆指値の注文の口を探したが無い(注文は enter_long / enter_short / close_position の 3 つだけ: backtest_engine.py 74・92・110 行) / 資産の推移を出す口を探したが無い(print_wealth は印字だけ: 69-72 行)	-	結果なし	場合 0: adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): maker_tp_pct: 指値・逆指値の注文の口を探したが無い(注文は enter_long / enter_short / close_position の 3 つだけ: backtest_engine.py 74・92・110 行) / exit_execution: 指値・逆指値の注文の口を探したが無い(注文は enter_long / enter_short / close_position の 3 つだけ: backtest_engine.py 74・92・110 行) / 資産の推移を出す口を探したが無い(print_wealth は印字だけ: 69-72 行)	-	結果なし	0.0	0.0
i4-2-grid-swap	I4-2	値	結果なし	場合 0: adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): swap_daily_pct: 持ち越しの口を探したが無い(残高は約定の値だけで動く: 82・100・118・123 行) / 資産の推移を出す口を探したが無い(print_wealth は印字だけ: 69-72 行)	-	結果なし	場合 0: adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): swap_daily_pct: 持ち越しの口を探したが無い(残高は約定の値だけで動く: 82・100・118・123 行) / 資産の推移を出す口を探したが無い(print_wealth は印字だけ: 69-72 行)	-	結果なし	0.0	0.0
i4-2-grid-hold	I4-2	値	結果なし	場合 0: adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): 資産の推移を出す口を探したが無い(print_wealth は印字だけ: 69-72 行)	-	結果なし	場合 0: adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): 資産の推移を出す口を探したが無い(print_wealth は印字だけ: 69-72 行)	-	結果なし	0.0	0.0
i4-2-grid-wick	I4-2	値	結果なし	場合 0: adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): 資産の推移を出す口を探したが無い(print_wealth は印字だけ: 69-72 行)	-	結果なし	場合 0: adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): 資産の推移を出す口を探したが無い(print_wealth は印字だけ: 69-72 行)	-	結果なし	0.0	0.0
i4-3-e2e-taker	I4-3	値	結果なし	adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): stop_loss_pct: 指値・逆指値の注文の口を探したが無い(注文は enter_long / enter_short / close_position の 3 つだけ: backtest_engine.py 74・92・110 行) / swap_daily_pct: 持ち越しの口を探したが無い(残高は約定の値だけで動く: 82・100・118・123 行) / taker_fee_pct: 手数料・スプレッド・滑りの口を探したが無い(backtest_engine.py の enter_long / enter_short / close_position は次の行の始値そのもので、費用の引数も属性も無い) / slippage_pct: 手数料・スプレッド・滑りの口を探したが無い(backtest_engine.py の enter_long / enter_short / close_position は次の行の始値そのもので、費用の引数も属性も無い) / spread_pct: 手数料・スプレッド・滑りの口を探したが無い(backtest_engine.py の enter_long / enter_short / close_positi	-	結果なし	adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): stop_loss_pct: 指値・逆指値の注文の口を探したが無い(注文は enter_long / enter_short / close_position の 3 つだけ: backtest_engine.py 74・92・110 行) / swap_daily_pct: 持ち越しの口を探したが無い(残高は約定の値だけで動く: 82・100・118・123 行) / taker_fee_pct: 手数料・スプレッド・滑りの口を探したが無い(backtest_engine.py の enter_long / enter_short / close_position は次の行の始値そのもので、費用の引数も属性も無い) / slippage_pct: 手数料・スプレッド・滑りの口を探したが無い(backtest_engine.py の enter_long / enter_short / close_position は次の行の始値そのもので、費用の引数も属性も無い) / spread_pct: 手数料・スプレッド・滑りの口を探したが無い(backtest_engine.py の enter_long / enter_short / close_positi	-	結果なし	0.0	0.0
