scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
i4-1-ref-taker	I4-1	値	結果なし	adapter: rqalpha 6.4.0: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	adapter: rqalpha 6.4.0: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	0.0	0.0
i4-1-ref-maker	I4-1	値	結果なし	adapter: rqalpha 6.4.0: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	adapter: rqalpha 6.4.0: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	0.0	0.0
i4-2-grid-all	I4-2	値	結果なし	場合 0: adapter: rqalpha 6.4.0: execution: この adapter は成行だけを送る(逆指値の注文は道具に無い。LimitOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / stop_loss_pct: この adapter は成行だけを送る(逆指値の注文は道具に無い。LimitOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / take_profit_pct: この adapter は成行だけを送る(逆指値の注文は道具に無い。LimitOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / allow_short: 株の口座は買い建てだけ(accounts は stock) / maker_fee_pct: この adapter は成行だけを送る(逆指値の注文は道具に無い。LimitOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / slippage_pct: 率の滑りは道具にあるが(sys_simulation.slippage)、スプレッドの半分との和を 1 本の率として約定値に掛ける形とは別で、この adapter は写していない / spread_pct: スプレッドの口を探したが無い / 決済ごとの損益の口を探したが無い(EVENT.	-	結果なし	場合 0: adapter: rqalpha 6.4.0: execution: この adapter は成行だけを送る(逆指値の注文は道具に無い。LimitOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / stop_loss_pct: この adapter は成行だけを送る(逆指値の注文は道具に無い。LimitOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / take_profit_pct: この adapter は成行だけを送る(逆指値の注文は道具に無い。LimitOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / allow_short: 株の口座は買い建てだけ(accounts は stock) / maker_fee_pct: この adapter は成行だけを送る(逆指値の注文は道具に無い。LimitOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / slippage_pct: 率の滑りは道具にあるが(sys_simulation.slippage)、スプレッドの半分との和を 1 本の率として約定値に掛ける形とは別で、この adapter は写していない / spread_pct: スプレッドの口を探したが無い / 決済ごとの損益の口を探したが無い(EVENT.	-	結果なし	0.0	0.0
i4-2-grid	I4-2	値	結果なし	場合 0: adapter: rqalpha 6.4.0: allow_short: 株の口座は買い建てだけ(accounts は stock) / slippage_pct: 率の滑りは道具にあるが(sys_simulation.slippage)、スプレッドの半分との和を 1 本の率として約定値に掛ける形とは別で、この adapter は写していない / spread_pct: スプレッドの口を探したが無い / 決済ごとの損益の口を探したが無い(EVENT.TRADE は約定) / 足ごとの資産の推移をこの adapter は取り出していない	-	結果なし	場合 0: adapter: rqalpha 6.4.0: allow_short: 株の口座は買い建てだけ(accounts は stock) / slippage_pct: 率の滑りは道具にあるが(sys_simulation.slippage)、スプレッドの半分との和を 1 本の率として約定値に掛ける形とは別で、この adapter は写していない / spread_pct: スプレッドの口を探したが無い / 決済ごとの損益の口を探したが無い(EVENT.TRADE は約定) / 足ごとの資産の推移をこの adapter は取り出していない	-	結果なし	0.0	0.0
i4-2-grid-stop	I4-2	値	結果なし	場合 0: adapter: rqalpha 6.4.0: stop_loss_pct: この adapter は成行だけを送る(逆指値の注文は道具に無い。LimitOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / 決済ごとの損益の口を探したが無い(EVENT.TRADE は約定) / 足ごとの資産の推移をこの adapter は取り出していない	-	結果なし	場合 0: adapter: rqalpha 6.4.0: stop_loss_pct: この adapter は成行だけを送る(逆指値の注文は道具に無い。LimitOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / 決済ごとの損益の口を探したが無い(EVENT.TRADE は約定) / 足ごとの資産の推移をこの adapter は取り出していない	-	結果なし	0.0	0.0
i4-2-grid-tp	I4-2	値	結果なし	場合 0: adapter: rqalpha 6.4.0: take_profit_pct: この adapter は成行だけを送る(逆指値の注文は道具に無い。LimitOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / 決済ごとの損益の口を探したが無い(EVENT.TRADE は約定) / 足ごとの資産の推移をこの adapter は取り出していない	-	結果なし	場合 0: adapter: rqalpha 6.4.0: take_profit_pct: この adapter は成行だけを送る(逆指値の注文は道具に無い。LimitOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / 決済ごとの損益の口を探したが無い(EVENT.TRADE は約定) / 足ごとの資産の推移をこの adapter は取り出していない	-	結果なし	0.0	0.0
i4-2-grid-maker	I4-2	値	結果なし	場合 0: adapter: rqalpha 6.4.0: execution: この adapter は成行だけを送る(逆指値の注文は道具に無い。LimitOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / 決済ごとの損益の口を探したが無い(EVENT.TRADE は約定) / 足ごとの資産の推移をこの adapter は取り出していない	-	結果なし	場合 0: adapter: rqalpha 6.4.0: execution: この adapter は成行だけを送る(逆指値の注文は道具に無い。LimitOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / 決済ごとの損益の口を探したが無い(EVENT.TRADE は約定) / 足ごとの資産の推移をこの adapter は取り出していない	-	結果なし	0.0	0.0
i4-2-grid-mtp	I4-2	値	結果なし	場合 0: adapter: rqalpha 6.4.0: maker_tp_pct: この adapter は成行だけを送る(逆指値の注文は道具に無い。LimitOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / exit_execution: この adapter は成行だけを送る(逆指値の注文は道具に無い。LimitOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / 決済ごとの損益の口を探したが無い(EVENT.TRADE は約定) / 足ごとの資産の推移をこの adapter は取り出していない	-	結果なし	場合 0: adapter: rqalpha 6.4.0: maker_tp_pct: この adapter は成行だけを送る(逆指値の注文は道具に無い。LimitOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / exit_execution: この adapter は成行だけを送る(逆指値の注文は道具に無い。LimitOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / 決済ごとの損益の口を探したが無い(EVENT.TRADE は約定) / 足ごとの資産の推移をこの adapter は取り出していない	-	結果なし	0.0	0.0
i4-2-grid-swap	I4-2	値	結果なし	場合 0: adapter: rqalpha 6.4.0: swap_daily_pct: 株の持ち越しの口を探したが無い / 決済ごとの損益の口を探したが無い(EVENT.TRADE は約定) / 足ごとの資産の推移をこの adapter は取り出していない	-	結果なし	場合 0: adapter: rqalpha 6.4.0: swap_daily_pct: 株の持ち越しの口を探したが無い / 決済ごとの損益の口を探したが無い(EVENT.TRADE は約定) / 足ごとの資産の推移をこの adapter は取り出していない	-	結果なし	0.0	0.0
i4-2-grid-hold	I4-2	値	結果なし	場合 0: adapter: rqalpha 6.4.0: 決済ごとの損益の口を探したが無い(EVENT.TRADE は約定) / 足ごとの資産の推移をこの adapter は取り出していない	-	結果なし	場合 0: adapter: rqalpha 6.4.0: 決済ごとの損益の口を探したが無い(EVENT.TRADE は約定) / 足ごとの資産の推移をこの adapter は取り出していない	-	結果なし	0.0	0.0
i4-2-grid-wick	I4-2	値	結果なし	場合 0: adapter: rqalpha 6.4.0: 決済ごとの損益の口を探したが無い(EVENT.TRADE は約定) / 足ごとの資産の推移をこの adapter は取り出していない	-	結果なし	場合 0: adapter: rqalpha 6.4.0: 決済ごとの損益の口を探したが無い(EVENT.TRADE は約定) / 足ごとの資産の推移をこの adapter は取り出していない	-	結果なし	0.0	0.0
i4-3-e2e-taker	I4-3	値	結果なし	adapter: rqalpha 6.4.0: stop_loss_pct: この adapter は成行だけを送る(逆指値の注文は道具に無い。LimitOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / swap_daily_pct: 株の持ち越しの口を探したが無い / allow_short: 株の口座は買い建てだけ(accounts は stock) / slippage_pct: 率の滑りは道具にあるが(sys_simulation.slippage)、スプレッドの半分との和を 1 本の率として約定値に掛ける形とは別で、この adapter は写していない / spread_pct: スプレッドの口を探したが無い / 決済ごとの損益の口を探したが無い(EVENT.TRADE は約定) / 足ごとの資産の推移をこの adapter は取り出していない / この adapter は成行だけを送る(逆指値の注文は道具に無い。LimitOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / 12 の指標: sys_analyser は日次の成績(sharpe・max_drawdown など)で、決済ごとの損益・勝率・PF の口が無い	-	結果なし	adapter: rqalpha 6.4.0: stop_loss_pct: この adapter は成行だけを送る(逆指値の注文は道具に無い。LimitOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / swap_daily_pct: 株の持ち越しの口を探したが無い / allow_short: 株の口座は買い建てだけ(accounts は stock) / slippage_pct: 率の滑りは道具にあるが(sys_simulation.slippage)、スプレッドの半分との和を 1 本の率として約定値に掛ける形とは別で、この adapter は写していない / spread_pct: スプレッドの口を探したが無い / 決済ごとの損益の口を探したが無い(EVENT.TRADE は約定) / 足ごとの資産の推移をこの adapter は取り出していない / この adapter は成行だけを送る(逆指値の注文は道具に無い。LimitOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / 12 の指標: sys_analyser は日次の成績(sharpe・max_drawdown など)で、決済ごとの損益・勝率・PF の口が無い	-	結果なし	0.0	0.0
