| packet | claim | 第1 | 第2 | 一致 |
|---|---|---|---|---|
| H | JPL6 | 再現 | 未検証 | × |
| H | JPL7 | 数値差異 | 未検証 | × |
| H | JPR6 | 判定不能 | 未検証 | × |
| H | JPR7 | 再現 | 未検証 | × |
| H | JPR8 | 数値差異 | 未検証 | × |
| I | R22 | 数値差異 | 未検証 | × |
| I | PR5 | 数値差異 | 未検証 | × |
| U | L1 | 数値差異 | (なし) | × |
| U | R1 | 数値差異 | (なし) | × |
| U | R5 | 再現 | 数値差異 | △ |
| U | R6 | 数値差異 | 数値差異 | ○ |
| U | R7 | 再現 | 再現 | ○ |
| X | C6 | 再現 | (なし) | × |
| X | L2 | 再現 | 再現 | ○ |
| X | L3 | 未検証 | 未検証 | ○ |
| X | L4 | 数値差異 | 再現 | △ |
| X | R8 | 再現 | 数値差異 | △ |
| AA | L18 | 数値差異 | 未検証 | × |
| AA | R25 | 再現 | 未検証 | × |
| AC | L17 | 数値差異 | 数値差異 | ○ |
| AC | R24 | 再現 | 数値差異 | △ |
| AC | PR13 | 再現 | 再現 | ○ |
| AH | L11 | 再現 | (なし) | × |
| AH | R10 | 数値差異 | 未検証 | × |
| AH | R11 | 数値差異 | 数値差異 | ○ |
| AH | R12 | 再現 | 未検証 | × |
| AJ | FXL9 | 再現 | 数値差異 | △ |
| AJ | FXL10 | 数値差異 | 数値差異 | ○ |
| AJ | FXL11 | 数値差異 | 未検証 | × |
| AJ | FXL12 | 数値差異 | 再現 | △ |
| AJ | FXL13 | 数値差異 | 再現 | △ |
| AJ | FXL14 | 再現 | 再現 | ○ |
| AJ | FXR5 | 再現 | 未検証 | × |
| AJ | FXR6 | 再現 | 数値差異 | △ |
| AJ | FXR10 | 再現 | 再現 | ○ |
| AJ | FXP1 | 未検証 | 判定不能 | × |
| AJ | PR4 | 再現 | (なし) | × |
| AO | JPR9 | 数値差異 | 数値差異 | ○ |
| AO | SV5 | 再現 | 再現 | ○ |

claims scored: 34  exact: 12/34 = 0.35  conclusion-level: 20/34 = 0.59
