date,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
20260804,108923.644458,6958215219.923536,1.473352,1.531108,1.414695,1.171513
20260805,107956.031462,6950384116.621451,1.293691,1.509799,1.23292,1.164355
20260806,106308.17483,6864909402.500581,1.241343,1.515537,1.160468,1.156399
20260807,106263.071281,6875048065.251888,1.221081,1.55908,1.154671,1.239059
20260808,107112.0115,6960297514.007851,1.205227,1.544572,1.124743,1.608754
20260809,107076.111024,6957815478.109723,1.247571,1.556744,1.155578,1.317239
20260810,106590.89075,6891347943.60926,1.391949,1.592125,1.293726,1.112953
20260811,107084.005271,6841731811.082478,1.746955,1.595071,1.665336,1.113482
20260812,109438.179796,6969609324.020715,1.815836,1.617728,1.74201,1.148676
20260813,110606.465597,7029899475.470524,1.844472,1.56347,1.803253,1.142426
20260814,111987.001691,7057713750.223381,2.106119,1.495414,2.028012,1.190496
20260815,111835.446472,7050344876.367626,2.137609,1.473369,2.068056,1.613064
20260816,111368.211062,7020883390.15883,2.15226,1.474439,2.084942,1.556878
20260817,108731.614441,6928693034.242675,1.906325,1.480995,1.865369,1.24015
20260818,106279.047503,6845001559.941467,1.569064,1.468504,1.456364,1.296876
20260819,106976.469104,7069393615.77762,1.442133,1.478768,1.360616,1.243085
20260820,108370.126993,7728290962.824624,1.117024,1.64862,1.017271,1.140949
20260821,107724.343007,8256903903.573544,1.073299,1.905173,1.028032,1.064626
20260822,106090.361257,8212171591.597846,1.121823,2.016282,1.014228,1.142782
20260823,106286.03608,8189953560.066072,1.124709,2.05671,1.028941,1.092285
20260824,107182.008035,8377962636.469282,1.093221,2.06252,1.000438,1.131882
20260825,107419.549444,8535265012.362303,0.983898,2.185884,0.925735,1.10561
20260826,106090.553556,8337008899.909917,1.095811,2.173381,1.037423,1.135184
20260827,106898.110285,8506134897.407272,1.099042,2.142305,1.019664,1.185197
20260828,107975.123316,8528942597.33362,1.122748,2.098443,1.020112,1.179106
20260829,106976.487063,8322153430.04786,1.237106,2.082179,1.183058,1.237943
20260830,107867.464882,8456505683.066208,1.16183,2.047503,1.107566,1.151338
20260831,106929.117924,8372891143.138877,1.116838,2.083418,1.060376,1.079405
20260901,108620.83858,8470119859.266621,1.216318,2.098106,1.129051,1.125086
20260902,108390.44416,8365006266.692788,1.330538,1.988198,1.258495,1.088901
20260903,109093.778937,8633286095.343197,1.103694,1.908299,1.047134,1.177067
20260904,110472.873205,8869755701.270697,1.014088,2.060768,0.906623,1.120045
