date_entry,date_exit,close_entry,open_exit,qty,dividend_yen,pnl_yen,etf_on_bps,index_on_bps,gap_bps,cum_pnl_yen
2026-09-04,2026-09-07,1925.00,1924.00,10,0.0,-10.0,-5.196,-5.143,-0.053,-10.0
2026-09-07,2026-09-08,1914.00,1909.50,10,0.0,-45.0,-23.539,-72.546,49.007,-55.0
2026-09-08,2026-09-09,1899.00,1896.50,10,0.0,-25.0,-13.173,-23.342,10.169,-80.0
2026-09-09,2026-09-10,1901.00,1899.50,10,0.0,-15.0,-7.894,-16.094,8.200,-95.0
2026-09-10,2026-09-11,1909.50,1902.50,10,0.0,-70.0,-36.726,-21.749,-14.977,-165.0
2026-09-11,2026-09-14,1888.50,1886.00,10,0.0,-25.0,-13.247,2.812,-16.059,-190.0
2026-09-14,2026-09-15,1896.50,1897.50,10,0.0,10.0,5.271,-13.477,18.749,-180.0
2026-09-15,2026-09-16,1895.00,1895.00,10,0.0,0.0,0.000,-4.055,4.055,-180.0
2026-09-16,2026-09-17,1892.50,1892.00,10,0.0,-5.0,-2.642,-13.136,10.494,-185.0
2026-09-17,2026-09-18,1896.50,1897.00,10,0.0,5.0,2.636,0.913,1.723,-180.0
2026-09-18,2026-09-24,1886.00,1885.00,10,0.0,-10.0,-5.304,-8.902,3.599,-190.0
2026-09-24,2026-09-25,1884.00,1888.00,10,0.0,40.0,21.209,,,-150.0
