source,direction,horizon,n_real_used,n_pb_used,point,lo,hi,mde_A,class_A,mde_Ap,class_Ap
判定時(カスケード単位・タイ除外),long,1,703,393,2.1690864895350135,0.040405291558539363,4.268550549975789,2.04,効果あり,2.6233466838761106,効果あり
判定時の定義・日クラスタ(公開済み診断),long,1,703,393,2.1690864895350135,0.2629969154729998,4.072877221141667,2.04,効果あり,2.6233466838761106,効果あり
判定時(カスケード単位・タイ除外),long,5,703,393,-0.3524074685657652,-5.045289090318266,4.3021968799958,5.18,陰性,6.655217703944589,陰性
判定時の定義・日クラスタ(公開済み診断),long,5,703,393,-0.35240746856576477,-3.3792369138407325,2.9664629318680675,5.18,陰性,6.655217703944589,陰性
判定時(カスケード単位・タイ除外),long,15,703,393,1.420417869608277,-5.836764782466314,8.686179814653414,6.86,不明,8.814636168429667,陰性
判定時の定義・日クラスタ(公開済み診断),long,15,703,393,1.4204178696082788,-4.657309564126832,7.803881232729207,6.86,不明,8.814636168429667,陰性
判定時(カスケード単位・タイ除外),long,60,703,393,-2.4170872177193647,-15.01247369679032,9.821984053739369,12.09,不明,15.541595349599673,陰性
判定時の定義・日クラスタ(公開済み診断),long,60,703,393,-2.4170872177193683,-13.504276271169108,8.966848655799101,12.09,不明,15.541595349599673,陰性
判定時(カスケード単位・タイ除外),short,1,357,299,0.05467839045063094,-2.542659266698744,2.708842459465426,2.23,不明,2.958600475679983,陰性
判定時の定義・日クラスタ(公開済み診断),short,1,357,299,0.05467839045063161,-2.6551259724778578,2.9669463265342713,2.23,不明,2.958600475679983,不明
判定時(カスケード単位・タイ除外),short,5,357,299,0.9226319744650007,-4.515985076273053,6.332343489085447,5.57,不明,7.405430566893157,陰性
判定時の定義・日クラスタ(公開済み診断),short,5,357,299,0.9226319744650002,-4.16185887588315,5.989311476798882,5.57,不明,7.405430566893157,陰性
判定時(カスケード単位・タイ除外),short,15,357,299,6.547798671875398,-2.0050623825218348,15.223762722458988,8.47,不明,11.259945271124122,不明
判定時の定義・日クラスタ(公開済み診断),short,15,357,299,6.5477986718754,-2.744759350736364,16.226440702840023,8.47,不明,11.259945271124122,不明
判定時(カスケード単位・タイ除外),short,60,357,299,6.969816701656548,-7.4630009655093605,21.54586346744548,15.44,不明,20.531615775895904,不明
判定時の定義・日クラスタ(公開済み診断),short,60,357,299,6.969816701656547,-5.521180251291335,19.13949455132187,15.44,不明,20.531615775895904,陰性
