policy,direction,horizon,n_real_rows,n_real_used,n_real_tie,n_real_tie_resolved,excl_real,n_pb_rows,n_pb_used,n_pb_tie,excl_pb,excl_gap,point,lo,hi,bad_iters,mde_A,class_A,mde_Ap,class_Ap
keep,long,1,3314,3314,2611,0,0.0,394,394,1,0.0,0.0,-0.2987893108289619,-1.9186068264389213,1.3224075210919102,0,2.04,陰性,2.2195751211258914,陰性
keep,long,5,3314,3314,2611,0,0.0,394,394,1,0.0,0.0,-1.987304392292129,-4.353600175731386,0.6770275288621489,0,5.18,陰性,5.630882007377716,陰性
keep,long,15,3314,3314,2611,0,0.0,394,394,1,0.0,0.0,-2.039122871585424,-7.9378222625510535,4.301960746446082,0,6.86,不明,7.457934272078427,不明
keep,long,60,3314,3314,2611,0,0.0,394,394,1,0.0,0.0,-6.122749263692947,-15.860224058362505,3.378953348920575,0,12.09,不明,13.149515690243541,不明
keep,short,1,2288,2288,1931,0,0.0,299,299,0,0.0,0.0,-1.1039586194806004,-3.2071602318923342,1.2132711112609216,0,2.23,不明,2.320805341769726,不明
keep,short,5,2288,2288,1931,0,0.0,299,299,0,0.0,0.0,-1.2579993550796131,-4.997351163650864,2.4190932641543306,0,5.57,陰性,5.809017797105712,陰性
keep,short,15,2288,2288,1931,0,0.0,299,299,0,0.0,0.0,2.206085887898351,-4.302059591370474,8.582261773393078,0,8.47,不明,8.832602221242327,陰性
keep,short,60,2288,2288,1931,0,0.0,299,299,0,0.0,0.0,4.051302598652424,-4.792635097645029,12.469565516605073,0,15.44,陰性,16.105548538760132,陰性
refine,long,1,3314,3314,2611,768,0.0,394,394,1,0.0,0.0,0.5411184835093336,-1.0332365364934069,2.1363503748565797,0,2.04,不明,2.2195751211258914,陰性
refine,long,5,3314,3314,2611,768,0.0,394,394,1,0.0,0.0,-1.1827993270594723,-3.4143138239244357,1.3805152954566204,0,5.18,陰性,5.630882007377716,陰性
refine,long,15,3314,3314,2611,768,0.0,394,394,1,0.0,0.0,-0.6947481459806113,-6.342928786293568,5.435764745269188,0,6.86,陰性,7.457934272078427,陰性
refine,long,60,3314,3314,2611,768,0.0,394,394,1,0.0,0.0,-4.597599097616234,-13.38604372415341,4.306086972271856,0,12.09,不明,13.149515690243541,不明
refine,short,1,2288,2288,1931,441,0.0,299,299,0,0.0,0.0,-0.6872699459698086,-2.7595714491472823,1.609080463806721,0,2.23,不明,2.320805341769726,不明
refine,short,5,2288,2288,1931,441,0.0,299,299,0,0.0,0.0,-0.6193182184448558,-4.376972946162876,3.076183594252208,0,5.57,陰性,5.809017797105712,陰性
refine,short,15,2288,2288,1931,441,0.0,299,299,0,0.0,0.0,2.7826472698183453,-3.82296460492565,9.350901248593122,0,8.47,不明,8.832602221242327,不明
refine,short,60,2288,2288,1931,441,0.0,299,299,0,0.0,0.0,3.9493457537698493,-4.669519029889088,12.1357391671563,0,15.44,陰性,16.105548538760132,陰性
drop,long,1,3314,703,2611,0,0.787869643934822,394,393,1,0.0025380710659898475,0.7853315728688322,2.1690864895350135,0.2629969154729998,4.072877221141667,0,2.04,効果あり,2.6233466838761106,効果あり
drop,long,5,3314,703,2611,0,0.787869643934822,394,393,1,0.0025380710659898475,0.7853315728688322,-0.35240746856576477,-3.3792369138407325,2.9664629318680675,0,5.18,陰性,6.655217703944589,陰性
drop,long,15,3314,703,2611,0,0.787869643934822,394,393,1,0.0025380710659898475,0.7853315728688322,1.4204178696082788,-4.657309564126832,7.803881232729207,0,6.86,不明,8.814636168429667,陰性
drop,long,60,3314,703,2611,0,0.787869643934822,394,393,1,0.0025380710659898475,0.7853315728688322,-2.4170872177193683,-13.504276271169108,8.966848655799101,0,12.09,不明,15.541595349599673,陰性
drop,short,1,2288,357,1931,0,0.8439685314685315,299,299,0,0.0,0.8439685314685315,0.05467839045063161,-2.6551259724778578,2.9669463265342713,0,2.23,不明,2.958600475679983,不明
drop,short,5,2288,357,1931,0,0.8439685314685315,299,299,0,0.0,0.8439685314685315,0.9226319744650002,-4.16185887588315,5.989311476798882,0,5.57,不明,7.405430566893157,陰性
drop,short,15,2288,357,1931,0,0.8439685314685315,299,299,0,0.0,0.8439685314685315,6.5477986718754,-2.744759350736364,16.226440702840023,0,8.47,不明,11.259945271124122,不明
drop,short,60,2288,357,1931,0,0.8439685314685315,299,299,0,0.0,0.8439685314685315,6.969816701656547,-5.521180251291335,19.13949455132187,0,15.44,不明,20.531615775895904,陰性
